"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,40.446,83.450  57.981.269,16.269.724,16.811  16.156  12.896.996,3.162.856,108.021  34.273  73.748
ΑΤΤΙΚΗ,9.891,27.292  18.107.136,5.129.284,3.796  4.642  3.164.487,885.063,33.595  7.546  26.049
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ,590,2.633  1.320.778,400.387,305  371  190.102,55.801,3.501  1.049  2.452
Αθηναίων,116,611  357.222,109.894,46  73  47.602,14.468,916  326  590
Βύρωνος,82,362  155.618,48.014,39  46  19.658,5.441,487  163  324
Γαλατσίου,46,230  113.677,36.669,27  38  21.096,6.367,348  72  276
?άφνης,46,199  74.965,22.572,15  14  4.651,1.369,207  57  150
Ζωγράφου,45,278  129.515,39.170,22  28  15.190,4.254,380  160  220
Ηλιουπόλεως,92,337  142.915,42.744,95  104  53.931,15.636,458  92  366
Καισαριανής,34,177  65.825,20.056,6  14  4.091,1.156,199  79  120
Νέας Φιλαδελφείας,44,164  107.941,29.605,21  26  11.347,3.558,250  61  189
Νέας Χαλκηδόνος,38,128  96.277,28.816,10  5  2.380,768,130  4  126
Ταύρου,32,100  62.018,18.332,12  9  3.761,1.151,85  19  66
Υμηττού,15,47  14.805,4.515,12  14  6.395,1.633,41  16  25
ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ,5.202,12.918  9.548.581,2.697.714,1.487  1.785  1.563.839,429.423,15.377  3.073  12.304
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Παρασκευής,16,42  46.177,13.634,4  3  2.918,722,80  14  66
Αμαρουσίου,176,495  447.809,129.101,39  49  49.686,16.699,736  160  576
Βριλησσίων,472,2.355  1.590.826,489.550,136  192  138.160,39.644,3.149  881  2.268
Ηρακλείου,90,288  207.041,61.581,48  58  22.146,6.679,467  58  409
Κηφισιάς,189,450  509.064,148.530,59  56  50.210,14.465,552  60  492
Μελισσίων,39,117  104.456,31.269,24  28  14.337,4.170,219  28  191
Μεταμορφώσεως,95,284  212.784,61.837,45  42  39.908,10.979,447  77  370
Νέας Ερυθραίας,81,196  157.519,47.165,25  26  11.478,3.408,220  30  190
Νέας Ιωνίας,112,416  228.955,68.024,52  82  214.061,79.037,576  214  362
Νέου Ψυχικού,18,63  51.669,16.304,12  17  5.487,1.715,99  17  82
Παπάγου,15,50  25.673,7.750,29  43  18.275,5.599,103  17  86
Πεύκης,28,86  51.073,14.934,12  15  16.443,4.974,131  10  121
Φιλοθέης,14,34  21.796,6.072,6  7  3.635,1.146,28  4  24
Χαλανδρίου,180,496  329.718,92.463,54  85  43.143,13.109,608  99  509
Χολαργού,19,80  43.957,12.828,16  26  16.233,4.550,127  14  113
Ψυχικού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",18,49  36.118,11.114,13  13  6.031,1.943,75  25  50
Γέρακα,292,682  395.216,116.059,52  79  43.223,12.420,695  137  558
Εκάλης,3,7  5.370,1.654,1  1  790,271,6  0  6
Λυκοβρύσεως,27,67  50.519,15.908,12  10  4.962,1.375,98  19  79
Νέας Πεντέλης,34,71  35.126,10.812,11  22  6.247,2.030,77  10  67
Πεντέλης,35,72  45.146,13.247,4  4  2.284,640,68  7  61
Αυλώνος,24,39  102.582,15.616,9  10  91.415,8.862,33  2  31
Αχαρνών,596,1.211  889.090,228.943,178  211  149.471,37.740,1.213  276  937
Κερατέας,90,148  103.661,28.454,27  22  9.734,2.958,150  25  125
Κρωπίας,148,260  481.544,104.697,59  54  182.220,37.230,231  37  194
Λαυρεωτικής,23,42  28.912,9.861,16  18  12.943,2.938,51  22  29
Μαραθώνος,79,130  66.633,19.033,16  14  9.960,2.770,116  16  100
Μαρκοπούλου Μεσογαίας,309,625  409.618,117.336,78  89  77.896,18.645,674  124  550
Νέας Μάκρης,121,253  120.543,35.772,34  38  14.375,4.323,259  27  232
Παιανίας,95,183  292.493,72.056,26  17  17.288,4.449,184  38  146
Παλλήνης,145,338  199.572,58.671,44  48  43.355,11.080,433  117  316
Σπάτων-Λούτσας,68,150  175.935,48.781,13  16  9.800,2.562,154  7  147
Αγίου Κωνσταντίνου,10,21  5.912,2.187,3  3  759,268,12  1  11
Αγίου Στεφάνου,130,262  170.171,49.398,16  18  17.722,4.720,252  29  223
Αναβύσσου,28,53  20.683,6.831,7  3  5.448,1.730,39  8  31
Ανοίξεως,50,95  50.345,15.285,10  11  5.339,1.608,96  5  91
Αρτέμιδος (Λούτσας),231,397  125.822,39.941,60  64  26.165,7.356,345  80  265
Αφιδνών,62,116  73.669,22.792,6  10  3.637,1.004,83  4  79
Βαρνάβα,35,65  33.824,10.122,4  6  3.075,916,64  0  64
Γλυκών Νερών,167,472  359.057,96.905,61  83  68.623,21.869,683  129  554
Γραμματικού,16,22  10.398,3.235,5  3  2.432,708,21  2  19
?ιονύσου,61,130  82.073,24.964,9  10  7.960,2.240,123  3  120
?ροσιάς,38,92  77.808,25.298,9  11  8.925,2.647,120  6  114
Θρακομακεδόνων,48,103  59.643,17.651,9  16  5.179,1.576,104  19  85
Καλάμου,16,26  16.236,4.814,2  2  1.296,407,28  5  23
Καλυβίων Θορικού,171,304  284.875,75.696,50  51  23.969,6.779,353  48  305
Καπανδριτίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",80,146  80.520,24.943,12  16  14.534,4.345,156  16  140
Κουβαρά,7,10  5.921,1.650,3  3  1.263,414,14  6  8
Κρυονερίου,44,83  176.408,32.761,4  2  845,287,73  6  67
Μαλακάσης,6,13  3.803,1.182,1  1  350,115,12  7  5
Μαρκοπούλου Ωρωπού,5,6  2.724,839,1  3  1.350,450,11  5  6
Νέων Παλατίων,17,34  13.419,4.159,3  3  3.354,976,28  5  23
Παλαιάς Φωκαίας,8,19  8.909,3.085,3  2  1.065,312,17  3  14
Πικερμίου,128,270  159.658,46.200,12  22  8.060,2.422,211  17  194
Πολυδενδρίου,14,24  12.818,4.049,2  2  540,180,22  0  22
Ραφήνας,61,147  109.289,30.875,16  18  9.538,2.749,169  21  148
Ροδοπόλεως (Μπάλας),7,14  9.351,2.940,0  0  0,0,12  3  9
Σαρωνίδος,53,108  73.719,23.852,9  10  4.655,1.538,163  65  98
Σκάλας Ωρωπού,6,13  7.368,2.566,2  3  966,252,13  1  12
Σταμάτας,21,48  26.663,8.224,5  4  1.361,463,42  3  39
Συκαμίνου,7,12  5.293,1.635,1  1  181,61,11  2  9
Ωρωπού,24,34  15.607,4.579,8  9  7.134,1.899,41  2  39
ΝΟΜΑΡΧΙΑ ?ΥΤΙΚΗΣ,2.138,4.777  3.491.486,915.429,873  977  643.533,174.212,5.509  1.105  4.404
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Βαρβάρας,3,12  4.553,1.298,9  11  2.584,766,21  4  17
Αγίων Αναργύρων,59,139  92.436,24.713,32  43  16.697,4.567,189  24  165
Αιγάλεω,98,271  124.973,36.937,80  104  58.266,15.148,443  161  282
Καματερού,153,325  149.589,44.845,32  37  16.133,4.614,332  50  282
Κορυδαλλού,83,341  128.338,39.166,65  112  38.786,11.568,419  102  317
Νέων Λιοσίων,181,485  271.635,83.672,84  92  37.480,11.223,583  110  473
Περιστερίου,232,711  449.965,132.697,168  206  105.124,27.468,824  253  571
Πετρουπόλεως,87,264  144.018,42.162,66  70  32.646,9.792,421  50  371
Χαϊδαρίου,79,191  138.675,36.565,38  38  20.670,5.991,242  34  208
Ασπροπύργου,118,190  629.138,113.811,49  43  128.419,29.777,128  13  115
Βιλίων,20,36  11.528,3.665,11  8  4.597,1.318,34  9  25
Ελευσίνος,84,178  260.392,64.663,52  53  25.581,6.989,360  41  319
Ερυθρών,4,8  2.973,991,7  7  1.311,445,10  4  6
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Μάνδρας,55,80  224.064,42.504,17  17  25.598,5.558,71  2  69
Μεγαρέων,155,240  154.765,41.485,69  46  29.255,8.354,252  65  187
Μαγούλας,47,88  118.274,35.772,17  16  52.987,17.640,78  7  71
Νέας Περάμου,43,78  34.324,10.937,4  4  1.242,353,59  4  55
Οινόης,4,5  1.376,459,0  0  0,0,4  2  2
¶νω Λιοσίων,534,935  449.393,128.100,31  27  26.192,6.626,829  132  697
Ζεφυρίου,42,72  47.255,14.122,7  7  3.132,971,59  7  52
Φυλής,57,128  53.822,16.865,35  36  16.833,5.044,151  31  120
ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ,1.961,6.964  3.746.291,1.115.754,1.131  1.509  767.013,225.627,9.208  2.319  6.889
Αγίου ?ημητρίου,28,94  44.186,13.381,22  30  14.560,2.929,119  27  92
Αγίου Ιωάννου Ρέντη,26,113  141.739,38.733,8  22  28.799,7.220,265  22  243
Αλίμου,98,354  215.100,64.004,58  80  38.821,11.597,476  117  359
Αργυρουπόλεως,52,182  117.340,34.319,62  89  33.896,9.365,258  71  187
Βουλιαγμένης,6,11  5.548,1.774,1  0  2.634,878,12  2  10
Γλυφάδας,201,661  423.169,127.480,68  87  36.660,10.785,744  120  624
?ραπετσώνας,21,106  54.479,16.877,19  29  22.950,6.642,213  90  123
Ελληνικού,18,62  37.628,11.412,22  26  27.706,7.462,87  20  67
Καλλιθέας,81,442  332.204,91.620,32  45  22.713,6.802,611  153  458
Κερατσινίου,146,621  251.035,76.603,133  179  66.645,19.302,821  249  572
Μοσχάτου,57,222  156.599,46.218,37  45  45.566,13.860,370  67  303
Νέας Σμύρνης,98,472  237.088,73.005,35  55  21.140,6.427,614  124  490
Νικαίας,264,1.049  430.845,128.252,168  232  84.177,24.900,1.315  378  937
Παλαιού Φαλήρου,90,498  286.828,88.216,47  58  66.252,19.695,703  107  596
Πειραιώς,277,1.167  614.534,186.176,152  224  116.226,34.773,1.449  396  1.053
Περάματος,37,150  60.322,18.180,30  51  17.996,5.646,218  85  133
Βάρης,38,84  49.392,15.474,0  0  0,0,79  22  57
Αιγίνης,154,236  88.470,26.302,78  91  58.222,18.055,314  115  199
Αγκιστρίου,12,17  7.696,2.351,9  7  2.047,683,23  6  17
Βαθέος,2,2  622,179,0  0  0,0,2  0  2
Κυψέλης,1,1  301,101,0  0  0,0,2  2  0
Πέρδικας,1,2  1.575,525,1  1  94,32,4  2  2
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κυθήρων,43,71  30.752,8.899,35  43  14.792,4.694,104  36  68
Λιβαδίου,1,2  925,242,0  0  0,0,1  0  1
Σαλαμίνος,111,183  81.291,22.871,58  62  21.484,6.546,203  43  160
Σπετσών,21,37  15.950,4.857,24  25  10.799,3.623,59  13  46
Αιαντείου,1,1  252,63,0  0  0,0,1  1  0
Αμπελακίων,33,51  24.766,6.947,9  9  5.507,1.658,55  14  41
Σεληνίων,1,1  360,109,1  1  185,56,2  1  1
Λουτροπόλεως Μεθάνων,3,6  2.426,673,2  2  820,277,5  2  3
Πόρου,16,28  17.269,4.582,9  7  2.177,540,27  12  15
Γαλατά,2,4  2.675,892,0  0  0,0,8  3  5
?ρυόπης,0,0  0,0,2  1  1.161,255,1  0  1
Κυψέλης Μεθάνων,1,2  794,213,0  0  0,0,1  0  1
Τροιζήνος,19,31  11.411,3.984,3  1  972,318,33  14  19
Ύδρας,1,1  720,240,6  7  2.012,607,9  5  4
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕ?ΟΝΙΑ &,2.652,4.996  3.135.607,897.357,938  681  1.241.700,214.656,6.536  2.202  4.334
ΘΡΑΚΗ,,,,,,
ΝΟΜΟΣ ?ΡΑΜΑΣ,425,673  459.838,130.034,159  116  134.038,27.639,748  138  610
?οξάτου,32,40  31.081,7.131,17  11  5.304,1.515,35  9  26
?ράμας,192,389  268.931,83.603,64  50  56.730,11.203,487  82  405
Κάτω Νευροκοπίου,13,14  9.924,2.876,5  2  4.769,937,14  5  9
Προσοτσάνης,42,55  28.830,7.357,14  10  11.532,1.859,40  13  27
Αγίας Παρασκευής,2,2  6.518,1.320,0  0  0,0,1  0  1
Αγίου Αθανασίου,7,8  3.618,1.087,1  1  514,106,9  2  7
Αγοράς,0,0  0,0,1  2  382,125,1  0  1
Αδριανής,4,7  2.030,553,0  0  0,0,2  0  2
Αργυρουπόλεως,1,1  3.082,642,1  0  167,47,1  1  0
Βώλακος,3,3  1.391,379,0  0  0,0,2  0  2
Γρανίτου,2,2  2.020,481,0  0  0,0,2  0  2
Καλαμπακίου,18,22  20.288,4.850,7  6  2.898,870,26  7  19
Καλαμώνος,2,2  1.321,365,0  0  0,0,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Καλής Βρύσης,2,2  908,244,3  0  192,61,2  0  2
Καλλιθέας,1,1  244,90,0  0  0,0,1  0  1
Καλλιφύτου,13,20  11.360,3.267,1  2  243,81,19  1  18
Καλού Αγρού,3,4  1.938,644,3  4  1.129,362,5  0  5
Κοκκινογείων,2,2  456,145,0  0  0,0,0  0  0
Κουδουνίων,6,6  2.690,755,1  0  145,41,6  0  6
Κυρίων,6,6  2.095,621,1  0  303,76,5  1  4
Λευκογείων,2,2  1.200,346,0  0  0,0,2  0  2
Λιβαδερού,0,0  0,0,1  1  900,232,2  1  1
Μαυροβάτου,3,3  1.672,579,2  1  583,140,4  1  3
Μαυρολεύκης,3,4  1.908,487,0  0  0,0,4  0  4
Μεγαλοκάμπου,1,1  180,45,1  0  129,39,1  1  0
Μικροπόλεως,4,4  1.254,364,0  0  0,0,4  1  3
Μικροχωρίου,7,7  4.319,1.283,0  0  0,0,4  0  4
Μοναστηρακίου,0,0  0,0,1  1  387,131,1  0  1
Μυλοποτάμου,0,0  0,0,3  3  20.790,5.220,3  2  1
Νεροφράκτου,0,0  0,0,1  1  499,105,1  0  1
Νικηφόρου,5,6  2.146,630,5  1  2.088,470,7  2  5
Ξηροποτάμου,7,9  4.441,1.204,6  4  15.763,1.721,4  1  3
Παρανεστίου,0,0  0,0,1  1  359,102,1  0  1
Περιθωρίου,1,1  754,292,3  3  2.057,420,2  0  2
Περιχώρας,1,1  318,77,0  0  0,0,1  0  1
Πετρούσσης,6,7  2.038,538,2  3  2.226,597,8  2  6
Πλατανόβρυσης,1,1  560,212,0  0  0,0,1  0  1
Ποταμών,0,0  0,0,1  0  120,38,0  0  0
Πτελέας Πλατανιάς,1,1  482,107,1  1  160,81,2  0  2
Πύργων,0,0  0,0,1  1  443,135,2  1  1
Σιταγρών,12,17  6.137,1.756,3  1  467,120,14  2  12
Φτελιάς,5,5  8.280,1.464,1  1  224,54,4  0  4
Φωτολίβους,2,2  402,121,3  3  1.801,468,3  1  2
Χαριτωμένης,2,2  357,119,0  0  0,0,2  1  1
Χωριστής,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",11,14  24.665,4.000,4  2  734,283,12  1  11
ΝΟΜΟΣ ΚΑΒΑΛΑΣ,518,927  536.187,151.856,206  153  108.407,28.584,1.033  330  703
Θάσου,1,1  276,75,1  0  3.456,560,0  0  0
Θεολόγου,2,3  1.149,332,1  1  702,234,5  1  4
Καλλιράχης,1,1  216,50,1  0  350,95,0  0  0
Λιμεναρίων,1,3  1.114,303,0  0  0,0,2  0  2
Παναγίας,1,2  698,208,1  1  235,67,2  0  2
Ποταμιάς,0,0  0,0,2  1  511,168,1  0  1
Πρίνου,0,0  0,0,2  0  368,119,1  1  0
Καβάλας,70,212  78.987,26.038,24  24  13.228,4.234,237  61  176
Αμισιανών,7,10  9.164,1.967,3  2  1.218,350,9  0  9
Αμυγδαλεώνος,34,58  29.677,8.682,6  5  1.127,390,40  1  39
Ζυγού,8,11  9.047,2.182,4  3  2.345,631,9  0  9
Κοκκινοχώματος,6,10  11.269,2.014,8  7  2.954,899,14  3  11
Κορυφών,1,2  420,120,0  0  0,0,1  0  1
Κρηνίδων,33,48  28.287,8.759,25  17  11.644,2.730,63  18  45
Κρυονερίου,4,6  2.318,762,1  2  652,221,6  1  5
Λυδίας,2,2  584,172,3  3  8.612,2.198,3  2  1
Νέας Καρβάλης,11,16  7.988,2.443,4  2  658,197,12  2  10
Παλαιάς Καβάλας,2,4  923,266,0  0  0,0,2  0  2
Πολυστύλου,11,13  13.382,2.770,2  0  124,39,8  1  7
Φιλίππων,7,8  2.937,928,2  0  55,18,6  1  5
Χαλκερού,1,1  3.068,534,1  2  2.860,642,0  0  0
Χρυσουπόλεως,39,63  64.637,13.964,23  23  9.421,2.903,67  13  54
Αβραμυλιάς,4,7  2.297,729,3  2  529,171,7  1  6
Αγιάσματος,2,3  1.429,432,0  0  0,0,2  0  2
Γέροντα,15,27  27.197,8.465,4  3  717,241,20  4  16
Γραβούνης,2,2  3.045,990,2  1  486,145,1  0  1
?ιαλεκτού,10,16  5.740,1.815,2  2  711,207,12  4  8
?υσβάτου,1,1  208,63,0  0  0,0,1  0  1
Ερατεινού,13,20  5.779,1.718,5  5  1.902,592,13  1  12
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ζαρκαδιάς,7,10  5.647,1.789,6  3  13.024,2.348,12  0  12
Κεραμωτής,13,23  10.756,3.215,6  2  7.651,1.353,21  4  17
Κεχροκάμπου,2,3  1.069,338,1  0  130,42,3  1  2
Μακρυχωρίου,3,3  3.078,704,0  0  0,0,1  0  1
Νέας Καρυάς,1,1  260,81,3  2  988,331,5  1  4
Ξεριά,8,12  5.314,1.710,2  2  1.063,282,10  1  9
Παραδείσου,6,9  2.947,864,0  0  0,0,5  1  4
Πέρνης,4,4  2.824,876,0  0  0,0,3  0  3
Πετροπηγής,1,1  128,46,6  3  1.258,411,4  2  2
Πηγών,0,0  0,0,1  0  346,108,0  0  0
Ποντολιβάδου,3,3  4.707,1.236,0  0  0,0,2  0  2
Χρυσοχωρίου,6,10  3.782,1.051,6  2  1.311,400,13  5  8
Ελευθερουπόλεως,24,39  27.216,7.151,6  7  3.278,1.013,27  5  22
Αγίου Ανδρέου,5,5  6.731,1.564,0  0  0,0,5  0  5
Ακροποτάμου,0,0  0,0,3  3  583,191,3  1  2
Αντιφιλίππων,2,3  1.365,435,1  2  767,238,3  0  3
Αυλής,2,2  708,279,2  1  390,128,2  0  2
Γαληψού,2,2  664,214,0  0  0,0,2  1  1
Γεωργιανής,2,2  300,88,1  1  387,129,2  1  1
?ωματίων,1,1  70,20,1  1  238,79,1  0  1
Ελαιοχωρίου,2,2  1.057,377,0  0  0,0,5  5  0
Ελευθερών,2,3  1.226,378,1  0  50,14,2  1  1
Καριανής,20,25  9.923,2.977,1  0  50,16,69  62  7
Κηπίων,1,1  421,124,1  0  356,119,0  0  0
