Μελισσοκομείου,4,5  1.443,482,2  2  428,122,5  3  2
Μεσιάς,0,0  0,0,1  1  740,238,1  0  1
Μεσορόπης,2,3  794,252,0  0  0,0,2  1  1
Μουσθένης,3,3  1.996,383,0  0  0,0,2  0  2
Μυρτοφύτου,2,3  672,222,2  0  5.220,1.282,4  3  1
Νέας Ηρακλίτσης,19,39  27.458,9.203,0  0  0,0,62  15  47
Νέας Περάμου,22,41  29.645,9.363,1  1  45,12,68  39  29
Νικήσιανης,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",9,12  11.797,2.283,4  2  734,242,9  0  9
Ορφανίου,6,8  2.109,660,0  0  0,0,5  3  2
Οφρυνίου,31,73  30.277,9.232,11  9  2.722,843,116  56  60
Παλαιοχωρίου,8,15  7.593,1.840,2  2  591,212,10  4  6
Πλατανοτόπου,1,2  2.999,767,2  1  499,153,0  0  0
Ποδοχωρίου,2,4  15.664,4.338,2  0  150,48,1  0  1
Σιδηροχωρίου,1,2  448,123,0  0  0,0,1  0  1
Φωλέας,1,2  854,280,1  0  543,179,2  0  2
Χρυσοκάστρου,1,1  409,130,0  0  0,0,1  0  1
ΝΟΜΟΣ ΕΒΡΟΥ,489,1.062  713.407,217.454,221  211  161.532,40.697,1.682  694  988
Αλεξανδρουπόλεως,44,102  62.904,18.707,13  15  20.999,2.975,140  55  85
Φερών,3,3  2.119,620,3  3  583,297,9  1  8
¶βαντος,1,1  409,124,0  0  0,0,1  0  1
Ανθείας,168,464  301.165,98.515,51  57  50.682,12.696,722  303  419
?ωρικού,9,11  13.105,2.633,10  11  13.537,4.985,25  7  18
Λουτρού,4,4  3.683,821,2  2  833,255,3  2  1
Μάκρης,4,4  1.357,407,1  0  368,74,6  4  2
?ιδυμοτείχου,58,125  69.885,21.606,27  23  8.495,2.631,166  65  101
Αμορίου,1,2  699,233,0  0  0,0,2  0  2
Ασβεστάδων,1,1  5.178,1.632,0  0  0,0,0  0  0
Ελαφοχωρίου,1,1  234,78,0  0  0,0,1  0  1
Ελληνοχωρίου,2,4  1.718,551,1  0  272,105,3  0  3
Κουφοβούνου,0,0  0,0,1  1  218,59,1  1  0
Λαβάρων,4,4  1.429,443,3  3  1.173,323,5  1  4
Μάνης,1,1  214,71,0  0  0,0,1  0  1
Μεταξάδων,2,2  852,233,1  1  75,25,1  1  0
Μικρού ?ερείου,8,9  2.844,916,1  0  306,160,10  0  10
Παλιουρίου,1,1  167,45,1  1  288,80,2  1  1
Πρωτοκκλησίου,1,2  541,180,0  0  0,0,2  2  0
Πυθίου,0,0  0,0,1  1  272,80,0  0  0
Ορεστιάδος,95,220  148.422,47.709,66  63  24.525,7.893,478  218  260
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
¶ρζου,1,1  878,225,1  1  64,,23,8  8  0
?ικαίων,6,7  22.810,3.895,2  3  458,,142,4  1  3
Ελαίας,9,12  7.503,2.062,1  1  205,,65,8  1  7
Καβύλης,0,0  0,0,1  1  360,,119,1  0  1
Καστανεών,2,2  611,198,3  2  939,,280,4  1  3
Κομάρων,1,1  192,64,0  0  0,,0,1  1  0
Κυπρίνου,21,28  14.146,4.382,6  3  848,,1.445,26  2  24
Μαρασίων,4,6  3.224,979,4  2  907,,259,8  3  5
Μεγάλης ?οξιπάρας,1,1  15,4,0  0  0,,0,0  0  0
Νέας Βύσσης,8,9  4.670,1.420,6  2  8.917,,1.493,7  2  5
Νεοχωρίου,1,1  65,20,0  0  0,,0,0  0  0
Ορμενίου,2,2  2.569,814,0  0  0,,0,1  0  1
Πτελέας,1,1  454,119,0  0  0,,0,1  0  1
Ριζίων,1,1  367,108,0  0  0,,0,1  0  1
Χανδρά,0,0  0,0,1  1  91,,30,0  0  0
Σαμοθράκης,11,15  5.922,1.772,5  8  1.585,,479,19  10  9
Σουφλίου,5,5  15.646,3.042,2  1  1.413,,312,4  0  4
Τυχερού,5,7  3.481,938,3  3  3.798,,1.109,7  2  5
Λυκόφωτος,0,0  0,0,1  1  345,,115,1  0  1
Πέπλου,1,1  450,143,2  1  330,,88,3  2  1
Προβατώνος,1,1  13.479,1.745,1  0  18.646,,2.100,0  0  0
ΝΟΜΟΣ ΞΑΝΘΗΣ,566,1.133  737.947,199.170,121  81  155.378,,29.627,1.296  322  974
Ξάνθης,330,786  533.215,151.550,61  44  78.347,,15.629,1.014  280  734
Σταυρουπόλεως,13,15  10.619,2.742,5  4  2.992,,705,10  4  6
Αβάτου,2,3  986,284,2  1  557,,160,4  1  3
Αβδήρων,15,18  9.431,2.476,3  1  965,,240,10  5  5
Γενισέας,20,26  62.408,7.894,2  2  801,,224,17  1  16
?αφνώνος,2,2  962,265,0  0  0,,0,2  0  2
?ιομηδείας,33,50  22.743,6.045,3  1  1.389,,385,38  1  37
Εξοχής,0,0  0,0,1  1  442,,119,1  0  1
Ερασμίου,0,0  0,0,4  1  1.130,,323,4  2  2
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ευλάλου,13,15  12.094,2.634,2  1  639,188,10  3  7
Ευμοίρου,6,7  3.635,1.044,9  3  48.127,7.464,9  1  8
Εχίνου,4,10  3.442,954,0  0  0,0,6  0  6
Θερμών,2,4  1.263,394,1  0  180,60,3  1  2
Κιμμερίων,10,17  7.516,2.075,1  1  12.235,1.789,18  7  11
Κομνηνών,1,1  3.418,600,0  0  0,0,0  0  0
Κοτύλης,6,9  2.664,887,3  0  65,128,6  0  6
Κουτσού,1,1  1.880,472,0  0  0,0,0  0  0
Μαγγάνων,2,2  1.200,300,0  0  0,0,2  0  2
Μαγικού,7,10  4.985,1.452,0  0  0,0,8  0  8
Μύκης,54,97  32.269,10.440,5  7  2.020,657,74  6  68
Μυρωδάτου,0,0  0,0,1  1  320,94,1  0  1
