Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Σώστη,2,3  1.649,519,0  0  0,,0,3  0  3
?ημοτική Κοινότητα Ασωμάτων,6,8  2.408,770,2  1  148,,49,5  3  2
Τοπική Κοινότητα Μέγα Πιστού,0,0  0,0,1  1  101,,33,0  0  0
Τοπική Κοινότητα Μίσχου,0,0  0,0,1  0  150,,50,1  1  0
Τοπική Κοινότητα Πολυάνθου,1,1  420,119,0  0  0,,0,1  0  1
?ημοτική Κοινότητα Σαπών,3,3  560,182,1  1  137,,45,3  2  1
Τοπική Κοινότητα Εβρίνου,1,1  246,60,1  1  237,,74,0  0  0
?ημοτική Κοινότητα,2,2  646,184,1  1  352,,112,2  0  2
Αμαράντων,,,,,,,
Τοπική Κοινότητα Ιμέρου,0,0  0,0,1  1  524,,166,1  0  1
Τοπική Κοινότητα Μιράνων,1,1  351,106,1  1  120,,30,2  1  1
Τοπική Κοινότητα,1,1  2.054,369,2  3  675,,184,1  0  1
Προσκυνητών,,,,,,,
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,71,81  47.440,14.471,120  121  52.940,,17.223,149  65  84
?ΡΑΜΑΣ,,,,,,,
?ημοτική Κοινότητα ?ράμας,36,44  29.991,9.157,75  81  36.921,,11.966,90  34  56
Τοπική Κοινότητα Καλλιφύτου,1,1  526,176,2  2  198,,69,2  1  1
Τοπική Κοινότητα Κουδουνίων,0,0  0,0,1  1  1.071,,283,1  1  0
Τοπική Κοινότητα Μαυροβάτου,1,1  687,229,0  0  0,,0,1  0  1
Τοπική Κοινότητα Μικροχωρίου,0,0  0,0,1  1  570,,187,1  0  1
Τοπική Κοινότητα Νικοτσάρας,1,1  102,34,0  0  0,,0,0  0  0
?ημοτική Κοινότητα,2,2  1.027,318,2  0  305,,101,1  0  1
Ξηροποτάμου,,,,,,,
?ημοτική Κοινότητα Χωριστής,0,0  0,0,2  1  421,,141,2  2  0
?ημοτική Κοινότητα,2,3  1.465,499,0  0  0,,0,4  1  3
Καλαμπακίου,,,,,,,
Τοπική Κοινότητα Αγίας,0,0  0,0,3  2  1.232,,424,2  1  1
Παρασκευής,,,,,,,
?ημοτική Κοινότητα Κυρίων,1,1  1.408,352,3  4  1.079,,372,3  1  2
?ημοτική Κοινότητα Αγίου,0,0  0,0,2  2  437,,153,2  2  0
Αθανασίου,,,,,,,
?ημοτική Κοινότητα ?οξάτου,9,9  4.119,1.232,10  12  5.496,,1.802,14  7  7
?ημοτική Κοινότητα Κάτω,3,3  2.030,577,2  3  741,,247,3  2  1
Νευροκοπίου,,,,,,,
Τοπική Κοινότητα Παρανεστίου,1,1  150,50,2  2  948,,317,3  1  2
?ημοτική Κοινότητα,10,10  2.562,846,11  8  2.499,,818,15  10  5
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Προσοτσάνης,,,,,,
?ημοτική Κοινότητα,1,2  573,191,1  0  189,63,1  0  1
Πετρούσσης,,,,,,
Τοπική Κοινότητα Φωτολίβους,1,1  644,246,2  1  332,113,2  1  1
Τοπική Κοινότητα Σιταγρών,2,2  2.156,564,1  1  501,167,2  1  1
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,71,103  55.739,16.093,71  87  41.682,12.362,186  68  118
ΕΒΡΟΥ,,,,,,
?ημοτική Κοινότητα,49,76  43.830,13.055,55  73  35.746,10.614,156  59  97
Αλεξανδρούπολης,,,,,,
Τοπική Κοινότητα ’βαντος,2,2  456,100,0  0  0,0,2  1  1
Τοπική Κοινότητα Αισύμης,2,3  1.003,319,0  0  0,0,2  0  2
Τοπική Κοινότητα Μάκρης,1,1  447,119,0  0  0,0,1  0  1
Τοπική Κοινότητα Συκορράχης,1,1  419,101,0  0  0,0,0  0  0
?ημοτική Κοινότητα Φερών,2,4  480,160,5  7  2.173,636,6  1  5
?ημοτική Κοινότητα,0,0  0,0,2  0  1.101,226,0  0  0
?ιδυμοτείχου,,,,,,
Τοπική Κοινότητα Μεταξάδων,0,0  0,0,2  1  567,236,2  0  2
Τοπική Κοινότητα Βρυσικών,1,1  408,126,0  0  0,0,2  2  0
Τοπική Κοινότητα ?όξης,1,1  480,96,0  0  0,0,0  0  0
?ημοτική Κοινότητα,5,7  3.099,913,2  1  185,56,6  1  5
Ορεστιάδος,,,,,,
Τοπική Κοινότητα Αμπελακίων,0,0  0,0,1  0  208,54,0  0  0
?ΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ,3,3  664,191,3  4  1.042,343,6  2  4
?ημοτική Κοινότητα Σουφλίου,2,2  859,283,1  1  660,197,3  2  1
Τοπική Κοινότητα Λυκόφωτος,1,1  84,90,0  0  0,0,0  0  0
?ημοτική Κοινότητα Τυχερού,1,1  3.510,540,0  0  0,0,0  0  0
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,75,115  39.098,12.512,17  18  5.789,1.782,155  123  32
ΘΑΣΟΥ,,,,,,
?ημοτική Κοινότητα Θάσου,15,22  10.912,3.167,5  8  2.561,816,32  21  11
?ημοτική Κοινότητα Θεολόγου,22,32  6.438,2.070,1  1  369,123,33  31  2
?ημοτική Κοινότητα,4,9  2.796,915,2  2  372,124,8  3  5
Καλλιράχης,,,,,,
?ημοτική Κοινότητα,6,11  2.925,1.266,3  1  1.202,342,23  22  1
Λιμεναρίων,,,,,,
Τοπική Κοινότητα Μαριών,1,2  690,230,1  1  240,80,3  2  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Τοπική Κοινότητα Παναγίας,4,6  2.545,746,1  0  117,44,8  6  2
?ημοτική Κοινότητα Ποταμιάς,5,8  2.150,756,0  0  0,0,13  11  2
?ημοτική Κοινότητα Πρίνου,6,8  3.444,1.111,1  2  408,90,14  14  0
Τοπική Κοινότητα Ραχωνίου,10,13  6.013,1.856,1  1  99,33,16  10  6
