"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,9.066,15.158  9.577.553,2.641.200,6.760  7.207  5.993.751,1.526.130,18.817  6.499  12.318
ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,1.162,2.625  1.800.023,507.963,1.135  1.361  1.370.316,393.825,3.323  845  2.478
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,96,292  154.290,45.924,188  178  209.941,63.740,467  142  325
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ,,,,,,
ΑΘΗΝΩΝ,,,,,,
?ΗΜΟΣ ΑΘΗΝΑΙΩΝ,59,168  96.421,28.252,130  121  172.549,53.007,304  111  193
?ΗΜΟΣ ΒΥΡΩΝΟΣ,8,25  15.830,4.736,12  12  11.334,2.773,33  6  27
?ΗΜΟΣ ΓΑΛΑΤΣΙΟΥ,1,1  1.030,320,0  0  0,0,4  0  4
?ημοτική Κοινότητα ?άφνης,5,18  5.818,1.867,3  6  1.881,612,19  0  19
?ημοτική Κοινότητα Υμηττού,4,11  5.568,1.721,1  1  400,104,15  2  13
?ΗΜΟΣ ΖΩΓΡΑΦΟΥ,4,12  4.971,1.495,4  4  2.794,920,16  10  6
?ΗΜΟΣ ΗΛΙΟΥΠΟΛΕΩΣ,10,36  16.778,5.123,25  31  12.385,3.986,59  10  49
?ΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ,2,11  3.636,1.129,2  0  436,140,10  2  8
?ημοτική Κοινότητα Νέας,2,6  3.138,889,11  3  8.162,2.198,4  1  3
Φιλαδελφείας,,,,,,
?ημοτική Κοινότητα Νέας,1,4  1.100,392,0  0  0,0,3  0  3
Χαλκηδόνος,,,,,,
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,194,472  334.879,98.495,239  321  270.064,75.936,652  165  487
ΒΟΡΕΙΟΥ ΤΟΜΕΑ,,,,,,
ΑΘΗΝΩΝ,,,,,,
?ΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ,18,50  45.410,14.279,23  19  38.137,9.511,55  12  43
?ΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,46,101  68.332,18.342,43  59  22.215,6.490,139  43  96
?ΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ,3,9  2.912,856,3  2  1.695,498,8  0  8
?ΗΜΟΣ ΗΡΑΚΛΕΙΟΥ,8,17  5.652,1.644,5  3  2.200,563,13  3  10
?ημοτική Κοινότητα Κηφισιάς,37,90  101.401,31.975,39  62  84.008,21.485,125  33  92
?ημοτική Κοινότητα Εκάλης,5,9  9.452,2.627,0  0  0,0,12  0  12
?ημοτική Κοινότητα Νέας,8,22  12.807,3.971,10  5  3.090,800,25  5  20
Ερυθραίας,,,,,,
?ημοτική Κοινότητα Πεύκης,3,9  2.393,813,5  6  3.060,779,10  0  10
?ημοτική Κοινότητα,4,8  4.183,1.363,4  6  1.300,389,14  7  7
Λυκοβρύσεως,,,,,,
?ΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ,4,12  3.665,978,11  9  3.496,1.123,15  5  10
?ΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ,17,43  22.588,6.468,34  46  32.352,9.109,68  20  48
?ημοτική Κοινότητα Χολαργού,2,7  1.904,581,5  10  2.976,1.060,17  5  12
?ημοτική Κοινότητα Παπάγου,5,12  5.651,1.844,10  13  3.291,1.016,24  5  19
?ημοτική Κοινότητα Μελισσίων,5,12  7.985,2.172,4  3  3.961,2.076,19  0  19
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
?ημοτική Κοινότητα Νέας,0,0  0,0,2  2  2.197,542,1  0  1
Πεντέλης,,,,,,
?ημοτική Κοινότητα Πεντέλης,6,13  7.691,2.261,11  18  8.901,2.596,25  6  19
?ημοτική Κοινότητα Ψυχικού,3,8  13.065,2.418,4  9  15.311,4.705,17  4  13
?ημοτική Κοινότητα Νέου,0,0  0,0,1  1  168,56,1  1  0
Ψυχικού,,,,,,
?ημοτική Κοινότητα Φιλοθέης,3,9  4.555,1.340,5  13  30.633,9.934,13  3  10
?ΗΜΟΣ ΧΑΛΑΝ?ΡΙΟΥ,17,41  15.233,4.563,20  35  11.073,3.204,51  13  38
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,77,184  89.721,23.826,107  116  87.771,64.123,304  60  244
?ΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,,,,,,
?ΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ,23,58  29.796,6.264,54  58  35.323,9.076,100  35  65
?ΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,2,5  2.046,547,9  9  8.275,2.130,13  1  12
?ημοτική Κοινότητα Αγίων,7,15  9.859,2.697,3  4  1.993,582,31  2  29
Αναργύρων,,,,,,
?ημοτική Κοινότητα Καματερού,8,18  6.522,1.955,2  3  1.429,427,28  0  28
?ΗΜΟΣ ΑΙΓΑΛΕΩ,14,33  14.083,3.917,13  19  4.347,1.274,44  9  35
?ΗΜΟΣ ΙΛΙΟΥ,10,21  10.314,2.837,11  7  28.813,48.415,30  7  23
?ΗΜΟΣ ΠΕΤΡΟΥΠΟΛΕΩΣ,4,11  5.257,2.404,8  11  5.386,1.574,24  2  22
?ΗΜΟΣ ΧΑΪ?ΑΡΙΟΥ,9,23  11.844,3.205,7  5  2.205,645,34  4  30
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,70,204  110.001,34.018,103  138  83.473,23.206,294  82  212
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,,,,,,
?ΗΜΟΣ ΚΑΛΛΙΘΕΑΣ,6,32  14.474,4.492,16  27  12.115,3.186,46  14  32
?ΗΜΟΣ ΑΓΙΟΥ ?ΗΜΗΤΡΙΟΥ,7,26  9.234,2.583,10  16  8.423,1.741,42  18  24
?ΗΜΟΣ ΑΛΙΜΟΥ,14,33  16.472,5.350,15  24  12.909,3.972,54  21  33
?ΗΜΟΣ ΓΛΥΦΑ?ΑΣ,23,59  34.789,10.813,34  30  31.589,9.314,74  14  60
?ημοτική Κοινότητα,7,18  6.304,2.028,11  17  4.328,1.219,23  6  17
Αργυρούπολης,,,,,,
?ημοτική Κοινότητα Ελληνικού,2,6  3.959,1.340,1  2  740,185,13  3  10
?ημοτική Κοινότητα Μοσχάτου,2,7  3.192,1.067,6  12  6.010,1.630,15  1  14
?ημοτική Κοινότητα Ταύρου,1,2  772,257,2  1  1.595,409,2  0  2
?ΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ,6,19  13.634,4.292,7  8  5.462,1.498,25  5  20
?ΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,2,2  7.171,1.796,1  1  302,52,0  0  0
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,411,850  449.227,118.042,220  291  275.146,76.711,833  175  658
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,,,,,,
?ημοτική Κοινότητα Αχαρνών,43,86  38.395,11.047,34  45  40.028,9.143,94  18  76
?ημοτική Κοινότητα,5,11  5.373,1.705,2  3  1.242,418,8  0  8
Θρακομακεδόνων,,,,,,
?ημοτική Κοινότητα Βούλας,9,21  8.157,2.698,6  7  4.896,1.566,20  1  19
?ημοτική Κοινότητα Βάρης,16,46  18.171,5.824,5  12  3.967,1.285,42  9  33
?ημοτική Κοινότητα,2,4  5.867,1.896,1  0  375,125,3  0  3
Βουλιαγμένης,,,,,,
?ημοτική Κοινότητα Αγίου,0,0  0,0,2  1  1.169,316,1  0  1
Στεφάνου,,,,,,
?ημοτική Κοινότητα Ανοίξεως,1,1  779,269,1  0  606,130,3  2  1
?ημοτική Κοινότητα ?ιονύσου,11,29  12.982,4.244,4  5  1.132,354,24  8  16
?ημοτική Κοινότητα ?ροσιάς,3,8  2.474,713,0  0  0,0,4  0  4
?ημοτική Κοινότητα,2,5  3.484,1.145,0  0  0,0,1  0  1
Κρυονερίου,,,,,,
?ημοτική Κοινότητα Σταμάτας,4,8  2.217,676,0  0  0,0,4  1  3
?ΗΜΟΣ ΚΡΩΠΙΑΣ,7,14  4.532,1.260,9  9  79.651,15.452,14  5  9
?ημοτική Κοινότητα,6,10  3.696,952,2  2  2.497,683,9  3  6
Λαυρεωτικής,,,,,,
?ημοτική Κοινότητα Κερατέας,5,10  3.198,851,4  4  1.778,576,11  4  7
?ημοτική Κοινότητα,15,28  12.436,3.565,10  7  4.438,1.313,40  8  32
Μαραθώνος,,,,,,
Τοπική Κοινότητα Βαρνάβα,5,11  4.633,1.353,2  2  429,143,10  2  8
Τοπική Κοινότητα Γραμματικού,2,4  2.228,732,0  0  0,0,4  0  4
?ημοτική Κοινότητα Νέας,15,29  11.179,3.547,12  18  13.637,3.161,31  8  23
Μάκρης,,,,,,
?ΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ,51,109  123.944,21.605,22  34  13.271,4.249,95  13  82
ΜΕΣΟΓΑΙΑΣ,,,,,,
?ημοτική Κοινότητα Παιανίας,20,39  15.159,4.633,13  23  12.360,3.357,50  11  39
?ημοτική Κοινότητα Γλυκών,4,9  4.554,1.367,5  10  4.582,1.359,18  7  11
Νερών,,,,,,
?ημοτική Κοινότητα Γέρακα,12,27  8.236,2.852,6  9  2.960,929,23  5  18
?ημοτική Κοινότητα Ανθούσας,1,2  522,168,0  0  0,0,1  0  1
?ημοτική Κοινότητα Παλλήνης,35,78  33.184,10.672,21  24  17.868,5.058,69  11  58
?ημοτική Κοινότητα Ραφήνας,11,23  9.021,2.811,7  12  5.269,1.537,26  6  20
?ημοτική Κοινότητα Πικερμίου,9,18  9.917,3.215,1  0  248,59,18  5  13
?ημοτική Κοινότητα Καλυβίων,8,14  4.312,1.226,9  9  18.111,10.915,18  7  11
Θορικού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
?ημοτική Κοινότητα,6,9  4.128,1.185,1  3  492,151,4  2  2
Αναβύσσου,,,,,,
Τοπική Κοινότητα Κουβαρά,1,2  901,230,0  0  0,0,2  0  2
?ημοτική Κοινότητα Σαρωνίδος,11,20  7.460,2.573,6  9  4.599,1.417,26  11  15
?ημοτική Κοινότητα Σπάτων -,13,24  9.661,2.776,6  6  1.838,622,23  4  19
Λούτσας,,,,,,
?ημοτική Κοινότητα Αρτέμιδας,27,49  15.587,4.657,8  11  4.252,1.314,44  15  29
?ημοτική Κοινότητα Σκάλας,2,7  1.432,378,0  0  0,0,3  0  3
Ωρωπού,,,,,,
Τοπική Κοινότητα Ωρωπού,22,47  18.363,5.465,10  15  9.440,3.130,46  5  41
?ημοτική Κοινότητα Αυλώνος,2,5  1.260,338,2  2  15.380,5.254,3  0  3
?ημοτική Κοινότητα Αφιδνών,4,9  2.948,886,2  2  2.000,602,8  0  8
?ημοτική Κοινότητα Καλάμου,0,0  0,0,1  1  211,70,1  0  1
?ημοτική Κοινότητα,14,22  10.152,3.063,5  5  5.005,1.549,24  3  21
Καπανδριτίου,,,,,,
?ημοτική Κοινότητα,1,4  1.070,319,0  0  0,0,3  0  3
Μαρκοπούλου Ωρωπού,,,,,,
Τοπική Κοινότητα,5,6  27.118,5.007,1  1  1.415,474,5  1  4
Πολυδενδρίου,,,,,,
Τοπική Κοινότητα Συκαμίνου,1,2  497,139,0  0  0,0,0  0  0
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,142,233  169.516,42.808,114  105  339.852,60.505,267  56  211
?ΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,,,,,,
?ημοτική Κοινότητα Ελευσίνος,11,24  9.487,2.904,17  15  48.422,12.735,27  1  26
?ημοτική Κοινότητα Μαγούλας,5,8  11.714,3.521,11  8  5.396,1.453,9  2  7
?ΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ,19,31  34.151,8.309,22  21  28.721,5.926,33  6  27
?ημοτική Κοινότητα Μάνδρας,8,11  6.645,2.178,11  13  192.311,24.456,19  6  13
?ημοτική Κοινότητα Βιλίων,3,5  1.147,422,1  1  468,156,6  2  4
?ημοτική Κοινότητα Μεγαρέων,60,91  70.094,15.892,40  33  55.190,13.029,109  14  95
?ημοτική Κοινότητα ’νω,34,61  35.836,9.469,10  13  8.423,2.474,61  25  36
Λιοσίων,,,,,,
?ημοτική Κοινότητα Ζεφυρίου,1,1  430,110,1  1  379,89,2  0  2
?ημοτική Κοινότητα Φυλής,1,1  12,3,1  0  542,187,1  0  1
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,67,201  411.216,119.647,99  139  61.205,16.179,266  90  176
ΠΕΙΡΑΙΩΣ,,,,,,
?ΗΜΟΣ ΠΕΙΡΑΙΩΣ,27,83  317.670,97.448,28  35  16.283,4.990,101  30  71
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
?ημοτική Κοινότητα,18,60  46.216,10.365,30  49  12.739,3.928,94  30  64
Κερατσινίου,,,,,,
?ημοτική Κοινότητα,0,0  0,0,6  9  2.310,601,5  4  1
?ραπετσώνας,,,,,,
?ΗΜΟΣ ΚΟΡΥ?ΑΛΛΟΥ,3,6  2.400,690,9  10  3.009,875,9  3  6
?ημοτική Κοινότητα Νικαίας,16,46  15.671,4.446,21  24  23.100,4.702,45  20  25
?ημοτική Κοινότητα Αγίου,2,4  27.434,6.311,1  4  1.300,400,4  0  4
Ιωάννου Ρέντη,,,,,,
?ΗΜΟΣ ΠΕΡΑΜΑΤΟΣ,1,2  1.825,387,4  8  2.464,683,8  3  5
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,105,189  81.173,25.203,65  73  42.864,13.425,240  75  165
ΝΗΣΩΝ,,,,,,
?ημοτική Κοινότητα Σαλαμίνος,38,71  29.097,9.860,20  25  7.294,2.138,72  16  56
?ημοτική Κοινότητα Σεληνίων,1,2  1.895,485,1  0  738,246,9  7  2
?ΗΜΟΣ Υ?ΡΑΣ,5,11  4.501,1.273,4  9  4.021,1.266,17  5  12
?ΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ,5,9  2.714,800,3  2  3.409,1.548,8  4  4
?ημοτική Κοινότητα Αίγινας,14,23  8.379,2.364,9  6  5.580,2.027,26  6  20
?ημοτική Κοινότητα Βαθέος,1,1  183,61,0  0  0,0,1  0  1
?ημοτική Κοινότητα Μεσαγρού,1,2  750,260,0  0  0,0,2  0  2
Τοπική Κοινότητα Πέρδικας,0,0  0,0,1  1  1.446,446,3  0  3
Τοπική Κοινότητα Κυθήρων,22,40  16.306,4.634,10  6  9.484,2.677,55  26  29
Τοπική Κοινότητα Αρωνιαδίκων,1,2  674,224,0  0  0,0,1  0  1
Τοπική Κοινότητα Καραβά,0,0  0,0,1  1  120,40,1  1  0
Τοπική Κοινότητα,1,2  690,230,0  0  0,0,1  0  1
Κοντολιανίκων,,,,,,
Τοπική Κοινότητα,0,0  0,0,1  2  406,112,2  0  2
Λογοθετιανίκων,,,,,,
Τοπική Κοινότητα Ποταμού,1,2  1.009,336,0  0  0,0,1  0  1
Τοπική Κοινότητα,0,0  0,0,1  1  1.014,263,2  0  2
Φριλιγκιανίκων,,,,,,
?ημοτική Κοινότητα,0,0  0,0,1  2  312,78,1  0  1
Αντικυθήρων,,,,,,
?ΗΜΟΣ ΠΟΡΟΥ,4,6  1.807,521,4  7  3.249,949,10  1  9
?ΗΜΟΣ ΣΠΕΤΣΩΝ,4,8  6.027,1.976,6  8  2.304,738,20  7  13
Τοπική Κοινότητα ?ρυόπης,1,1  760,152,0  0  0,0,0  0  0
Τοπική Κοινότητα Τροιζήνος,6,9  6.381,2.027,3  3  3.487,897,8  2  6
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ,503,726  458.435,120.330,449  444  223.308,65.649,996  428  568
ΜΑΚΕ?ΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,,,,,
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,91,124  143.797,31.142,46  34  13.249,3.838,117  36  81
ΡΟ?ΟΠΗΣ,,,,,,
?ημοτική Κοινότητα Κομοτηνής,31,51  103.299,20.713,13  9  4.711,1.189,44  11  33
Τοπική Κοινότητα Γρατίνης,0,0  0,0,1  0  72,27,1  1  0
Τοπική Κοινότητα Θρυλορίου,2,3  3.002,850,2  2  571,192,2  1  1
Τοπική Κοινότητα Ιτέας,2,2  1.544,352,0  0  0,0,0  0  0
Τοπική Κοινότητα Κάλχαντος,0,0  0,0,1  2  595,192,2  0  2
Τοπική Κοινότητα Καρυδιάς,1,2  907,263,0  0  0,0,1  0  1
Τοπική Κοινότητα Κοσμίου,1,2  999,247,0  0  0,0,1  0  1
Τοπική Κοινότητα Αιγείρου,1,1  95,25,0  0  0,0,0  0  0
Τοπική Κοινότητα Αρωγής,3,5  1.622,462,0  0  0,0,3  1  2
Τοπική Κοινότητα Παραλίας,1,1  668,236,1  0  157,57,3  3  0
Μέσης,,,,,,
Τοπική Κοινότητα Φαναρίου,1,2  1.438,480,0  0  0,0,5  5  0
Τοπική Κοινότητα Νέου,1,1  523,131,0  0  0,0,1  0  1
Σιδηροχωρίου,,,,,,
Τοπική Κοινότητα Μεγάλου,1,1  418,103,1  1  154,48,2  1  1
?ουκάτου,,,,,,
Τοπική Κοινότητα Παγουρίων,1,1  173,50,1  1  98,22,1  1  0
Τοπική Κοινότητα Φιλλύρας,1,2  1.607,444,1  0  157,72,2  0  2
Τοπική Κοινότητα Αράτου,0,0  0,0,1  0  99,24,0  0  0
Τοπική Κοινότητα Αρχοντικών,0,0  0,0,1  0  320,100,0  0  0
Τοπική Κοινότητα Βραγιάς,1,1  558,114,0  0  0,0,0  0  0
Τοπική Κοινότητα ?οκού,1,1  329,89,0  0  0,0,0  0  0
Τοπική Κοινότητα ?ρύμης,0,0  0,0,1  2  499,150,2  0  2
Τοπική Κοινότητα Λαμπρού,2,2  1.002,260,0  0  0,0,2  0  2
Τοπική Κοινότητα Ομηρικού,1,1  449,150,0  0  0,0,2  0  2
Τοπική Κοινότητα Πάσσου,1,1  1.208,187,0  0  0,0,0  0  0
Τοπική Κοινότητα Αρριανών,3,3  2.390,447,0  0  0,0,2  0  2
Τοπική Κοινότητα Αγιοχωρίου,1,1  271,52,0  0  0,0,0  0  0
?ημοτική Κοινότητα Οργάνης,3,3  5.727,1.128,0  0  0,0,1  0  1
?ημοτική Κοινότητα Ιάσμου,6,8  3.083,831,6  4  1.552,510,12  5  7
Τοπική Κοινότητα Αμβροσίας,4,4  1.444,446,1  1  804,202,4  0  4
Τοπική Κοινότητα Αμαξάδων,4,5  2.707,773,4  2  1.016,310,5  0  5
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
