"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Εμμανουήλ Παππά,4,6  1.240,392,1  1  344,96,3  0  3
Επταμύλων,15,20  22.490,5.692,3  0  755,229,8  4  4
Καλών ?ένδρων,3,4  2.446,649,2  1  776,238,3  0  3
Καρπερής,3,3  2.053,449,1  0  1.100,273,1  0  1
Κάτω Καμήλας,5,5  4.463,848,0  0  0,0,2  1  1
Λευκώνος,22,32  24.582,6.464,6  2  7.791,1.970,19  1  18
Λιθοτόπου,2,2  316,98,1  1  200,66,0  0  0
Μελενικιτσίου,2,2  915,186,1  0  416,92,1  1  0
Μητρουσίου,4,5  2.526,644,3  1  1.863,537,7  1  6
Μονόβρυσης,1,2  720,210,0  0  0,0,1  0  1
Μονοκκλησιάς,1,1  380,105,1  0  153,40,2  1  1
Νέας Τυρολόης,1,1  286,102,1  0  9,3,1  0  1
Νέου Σκοπού,8,10  7.282,2.101,4  0  673,236,3  1  2
Νέου Σουλίου,14,20  9.175,2.137,10  8  2.574,709,21  2  19
Νεοχωρίου,5,5  1.888,521,4  5  1.554,494,7  0  7
Ορεινής,5,6  2.405,760,0  0  0,0,6  0  6
Παλαιοκάστρου,2,2  1.095,319,1  0  334,86,3  0  3
Παραλιμνίου,1,2  954,304,1  1  170,57,2  1  1
Πενταπόλεως,1,1  120,40,2  0  186,52,1  1  0
Πεπονιάς,1,1  303,72,1  0  140,32,0  0  0
Προβατά,2,2  1.450,373,1  1  486,124,2  0  2
Σκοτούσσης,1,1  232,70,5  0  600,194,3  3  0
Σκουτάρεως,3,5  2.233,611,3  2  2.116,556,4  1  3
Στρυμονικού,3,4  1.743,514,2  0  845,245,4  1  3
Χειμάρρου,3,4  1.468,467,0  0  0,0,3  0  3
Χιονοχωρίου,6,9  3.602,1.082,5  6  1.771,521,13  4  9
Χριστού,1,1  1.650,450,1  2  251,74,1  1  0
Χρυσού,8,10  4.788,1.390,0  0  0,0,4  0  4
Χρυσοχωράφων,6,7  1.989,574,1  0  92,27,5  1  4
Ψυχικού,2,2  428,127,1  0  202,67,2  0  2
Σιδηροκάστρου,31,41  18.827,5.719,25  18  9.439,3.180,37  4  33
Αγκίστρου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  360,120,0  0  0,,0,1  0  1
Ακριτοχωρίου,2,3  658,219,2  1  532,,171,4  1  3
Αμμουδιάς,4,5  2.783,670,0  0  0,,0,2  0  2
¶νω Ποροϊων,5,7  2.303,727,4  2  709,,276,5  1  4
Αχλαδοχωρίου,2,4  3.156,885,2  1  306,,102,3  0  3
Βαλτερού,3,3  4.842,698,2  1  305,,93,2  1  1
Βαμβακοφύτου,3,4  1.642,517,5  3  1.208,,396,5  2  3
Βυρωνείας,2,2  801,274,6  2  955,,398,5  2  3
Γεφυρουδίου,1,1  108,36,3  2  1.853,,439,0  0  0
Γονίμου,1,1  200,60,0  0  0,,0,0  0  0
Καμαρωτού,3,4  1.378,464,1  0  96,,32,5  1  4
Καστανούσσης,2,3  1.488,386,1  0  396,,131,3  0  3
Κάτω Ποροϊων,7,8  3.536,902,2  1  490,,167,4  0  4
Κερκίνης,12,12  9.056,2.523,1  0  198,,66,10  1  9
Κοιμήσεως,6,7  7.543,1.725,7  2  1.301,,420,8  6  2
Λιβαδιάς,3,4  1.513,487,1  1  141,,47,4  1  3
Λιμνοχωρίου,2,2  372,124,0  0  0,,0,1  0  1
Μακρινίτσης,2,3  859,283,0  0  0,,0,1  0  1
Μανδρακίου,0,0  0,0,1  0  112,,112,0  0  0
Μεγαλοχωρίου,3,3  1.334,371,1  0  105,,35,3  1  2
Νέου Πετριτσίου,4,6  1.757,585,12  7  3.253,,1.008,11  7  4
Νεοχωρίου,2,2  1.819,519,1  0  219,,55,1  0  1
Πλατανακίων,5,5  1.974,633,0  0  0,,0,3  0  3
Ποντισμένου,15,15  3.922,1.225,3  0  359,,102,7  1  6
Ροδοπόλεως,11,13  10.568,3.212,4  4  962,,265,6  0  6
Χαροπού,18,23  7.218,2.262,9  5  2.798,,1.045,12  4  8
Χορτερού,4,4  5.902,1.518,1  0  155,,46,0  0  0
Νέας Ζίχνης,5,6  4.402,1.273,7  3  1.905,,599,7  3  4
Αγγίστης,1,1  300,96,0  0  0,,0,1  1  0
Αγίου Χριστοφόρου,0,0  0,0,1  0  90,,28,0  0  0
Αγιοχωρίου,0,0  0,0,1  1  648,,216,0  0  0
Αγριανής,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",0,0  0,0,1  0  125,42,0  0  0
Αλιστράτης,10,15  13.077,2.566,2  1  1.090,297,11  6  5
Αμφιπόλεως,3,4  1.003,282,0  0  0,0,3  0  3
Γαζώρου,8,9  4.318,1.314,1  0  10.624,1.280,5  0  5
?ραβήσκου,7,9  2.663,826,1  0  477,130,4  0  4
Ηλιοκώμης,2,2  546,153,0  0  0,0,2  1  1
Κορμίστης,3,4  1.085,331,0  0  0,0,2  1  1
Μεσολακκιάς,1,2  310,80,1  2  197,58,2  0  2
Μεσορράχης,0,0  0,0,1  1  312,104,0  0  0
Μικρού Σουλίου,3,3  4.244,910,0  0  0,0,0  0  0
Νέας Μπάφρας,3,3  1.508,474,4  1  701,286,5  1  4
Παλαιοκώμης,3,4  1.840,532,2  1  760,214,5  0  5
Πεθελινού,3,3  1.905,422,0  0  0,0,0  0  0
Πρώτης,4,6  3.386,908,2  2  96,32,4  2  2
Ροδολίβους,5,5  926,286,6  3  1.395,363,6  5  1
Τούμπας,1,1  210,60,2  0  309,84,2  2  0
ΝΟΜΟΣ ΧΑΛΚΙ?ΙΚΗΣ,879,1.575  1.044.473,293.023,299  250  129.675,39.171,2.667  1.451  1.216
Αρναίας,9,15  15.355,4.586,7  8  3.899,1.019,28  5  23
Ιερισσού,23,40  19.068,6.005,5  4  1.833,562,62  31  31
Αμμουλιανής,4,6  5.367,2.262,5  3  1.523,512,26  19  7
Βαρβάρας,4,6  4.189,1.322,0  0  0,0,3  1  2
Γοματίου,5,8  3.380,1.090,2  1  219,73,7  1  6
Μαραθούσσης,1,1  150,50,2  1  462,145,3  2  1
Μεγάλης Παναγίας,18,30  11.523,3.836,3  3  331,111,26  5  21
Νεοχωρίου,9,15  5.295,1.685,2  1  192,64,10  1  9
Νέων Ρόδων,6,10  5.000,1.632,5  8  1.811,614,21  11  10
Ολυμπιάδος,6,9  3.473,1.068,2  1  253,84,7  3  4
Ουρανοπόλεως,4,7  3.195,1.029,4  2  5.557,1.776,11  8  3
Παλαιοχωρίου,6,8  16.994,4.399,3  2  3.888,853,4  0  4
Πυργαδικίων,3,4  2.292,784,6  6  1.181,388,14  9  5
Σταγίρων,1,3  1.124,358,0  0  0,0,2  0  2
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Στανού,4,5  2.156,671,2  2  519,173,6  1  5
Στρατονίκης,4,7  4.280,1.438,5  5  2.382,543,11  3  8
Στρατωνίου,6,12  8.724,1.987,6  2  743,258,10  4  6
Κασσανδρείας,42,79  45.797,12.939,12  8  3.438,1.129,169  122  47
Νέων Μουδανιών,54,118  91.893,27.439,10  1  4.655,1.388,160  28  132
Πολυγύρου,40,78  54.444,15.087,20  12  15.898,4.820,94  18  76
Αγίας Παρασκευής,11,14  4.470,1.456,2  0  632,182,11  2  9
Αγίου Μάμαντος,15,24  8.961,2.537,6  4  2.623,695,18  6  12
Αγίου Νικολάου,13,26  7.836,2.520,8  11  3.945,1.272,38  20  18
Αγίου Παντελεήμονος,3,5  1.561,482,1  1  551,159,4  0  4
Αγίου Προδρόμου,2,4  2.008,582,1  1  423,121,3  0  3
Αφύτου,11,20  11.793,4.064,4  3  1.013,331,37  8  29
Βάβδου,3,4  1.603,506,1  1  216,65,4  4  0
Βραστάμων,8,9  2.665,820,3  1  747,250,7  1  6
Γαλαρινού,2,2  703,232,1  0  66,22,2  1  1
Γαλατίστης,23,40  24.655,7.082,5  5  778,264,27  7  20
?ιονυσίου,5,9  5.224,1.624,5  5  2.094,637,25  10  15
?ουμπιών,3,5  1.246,372,0  0  0,0,3  1  2
Ελαιοχωρίων,6,8  2.007,573,0  0  0,0,4  1  3
Ζωγράφου,3,3  1.773,502,1  1  370,96,2  1  1
Καλάνδρας,55,101  52.754,16.635,5  4  2.939,899,220  171  49
Καλλιθέας,23,52  42.100,13.549,0  0  0,0,162  119  43
Κασσανδρηνού,9,17  9.328,2.928,0  0  0,0,35  31  4
Κρήμνης,1,1  2.053,604,0  0  0,0,0  0  0
Κρήνης,3,5  1.868,613,2  2  1.185,350,5  0  5
Κρυοπηγής,26,54  42.907,13.384,1  1  152,50,139  89  50
Λακκώματος,15,20  47.424,7.527,4  2  760,262,9  1  8
Μεταγκιτσίου,9,13  4.101,1.317,11  10  2.894,940,20  4  16
Μεταμορφώσεως,7,14  16.225,3.196,2  2  715,238,14  4  10
Νέας Γωνιάς,8,14  4.211,1.458,1  1  196,65,9  2  7
Νέας Καλλικρατείας,32,65  38.707,11.389,12  13  4.153,1.258,117  65  52
Νέας Ποτειδαίας,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",12,26  10.875,3.784,6  4  2.311,657,45  19  26
Νέας Σκιώνης,9,18  9.534,2.989,3  2  682,210,37  26  11
Νέας Τενέδου,0,0  0,0,1  1  505,131,1  0  1
Νέας Τριγλίας,16,23  84.387,9.818,8  9  4.169,1.268,25  4  21
Νέας Φωκαίας,9,14  8.859,2.855,4  3  3.641,683,29  12  17
Νέου Μαρμαρά,20,45  25.374,8.248,12  20  2.831,886,74  36  38
Νέων Πλαγίων,14,24  8.209,2.393,3  2  1.262,345,34  12  22
Νέων Σιλάτων,9,14  7.663,2.483,4  3  941,321,14  4  10
Νικήτης (Νικήτα),46,75  34.848,11.533,7  8  2.635,848,135  74  61
Ολύνθου,11,14  8.176,2.361,5  3  1.209,379,12  3  9
Ορμυλίας,14,27  10.732,3.458,19  11  12.224,3.777,39  22  17
Παλαιοκάστρου,3,4  1.185,372,0  0  0,0,1  0  1
Παλαιοχώρας,6,6  5.769,1.606,2  0  211,69,8  4  4
Παλιουρίου,10,19  9.599,3.081,0  0  0,0,23  18  5
Πετραλώνων,2,2  6.294,1.156,0  0  0,0,1  1  0
Πευκοχωρίου,24,44  34.069,8.412,2  0  798,267,77  40  37
Πολυχρόνου,19,36  32.312,10.316,3  3  2.192,710,127  83  44
Πορταριάς,8,19  6.474,1.937,4  3  891,288,14  6  8
Ριζών,4,5  3.327,992,1  0  1.125,375,2  0  2
Σανών,1,1  663,223,1  0  196,55,0  0  0
Σάρτης,7,13  7.968,2.360,2  2  758,249,27  20  7
Σημάντρων,12,17  8.816,2.363,16  22  5.261,1.646,17  6  11
Συκέας,19,33  12.802,4.024,8  5  3.989,1.277,58  44  14
Ταξιάρχου,9,13  5.695,1.912,2  1  1.200,400,11  10  1
Φλογητών,20,38  16.493,5.527,7  9  5.165,1.588,73  18  55
Φούρκας,18,27  17.564,5.305,2  1  243,74,87  73  14
Χανιώτη,12,28  24.904,7.896,0  0  0,0,107  96  11
ΑΓΙΟΝ ΟΡΟΣ,1,1  245,65,0  0  0,0,0  0  0
¶γιον Όρος,1,1  245,65,0  0  0,0,0  0  0
?ΥΤΙΚΗ ΜΑΚΕ?ΟΝΙΑ,2.878,4.860  2.975.619,913.374,567  307  233.988,78.001,4.536  857  3.679
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,709,1.221  497.201,152.848,139  60  48.251,13.554,1.141  248  893
Γρεβενών,76,229  146.980,43.775,13  4  12.303,2.244,307  49  258
?εσκάτης,65,105  43.307,13.611,19  13  7.762,2.233,87  12  75
Αβδέλλας,18,30  8.210,2.459,8  2  1.372,427,38  5  33
Αγίου Γεωργίου,23,33  14.115,4.392,3  1  1.118,402,24  3  21
Αγίου Κοσμά,6,8  3.322,1.037,0  0  0,0,6  0  6
Αγίων Θεοδώρων,5,8  1.442,487,2  1  366,113,7  1  6
Αηδονίων,9,12  4.778,1.555,1  0  303,93,9  3  6
Αλατοπέτρας,8,13  6.351,1.944,0  0  0,0,7  0  7
Αμυγδαλεών,25,42  9.955,3.335,2  2  309,106,28  4  24
Αναβρυτών,6,9  1.812,587,1  0  298,99,7  4  3
Βατολάκκου,4,6  1.819,578,3  1  1.395,389,5  2  3
?ασοχωρίου,7,12  3.511,1.168,1  0  330,110,8  0  8
?ασυλλίου,0,0  0,0,1  0  78,27,1  1  0
?οτσικού,3,5  1.561,526,0  0  0,0,3  0  3
Ελάτου,9,16  4.135,1.336,2  1  312,113,10  0  10
Ελευθέρου,4,6  1.788,572,1  0  315,106,5  1  4
Εξάρχου,3,5  3.476,1.150,3  0  714,238,20  17  3
Ζάκα,10,13  7.070,1.678,5  3  1.837,650,13  2  11
Καληράχης,11,16  4.302,1.384,1  1  150,54,12  0  12
Καλλιθέας,10,15  3.664,1.122,3  0  777,282,13  4  9
Καλλονής,0,0  0,0,1  2  430,140,1  0  1
Καλοχίου,1,1  218,73,1  1  194,69,2  0  2
Καρπερού,22,27  11.540,3.234,2  0  229,65,16  2  14
Κατάκαλης,4,6  2.793,835,0  0  0,0,4  0  4
Κέντρου,11,13  3.709,1.189,0  0  0,0,9  0  9
Κηπουρείου,11,19  4.556,1.534,3  2  1.083,365,14  1  13
Κιβωτού,17,23  10.961,4.093,3  2  675,220,15  2  13
Κληματακίου,8,11  2.526,784,4  0  1.605,458,11  3  8
Κνίδης,23,33  18.816,6.084,4  2  987,318,89  77  12
Κοκκινιάς,4,4  2.406,729,0  0  0,0,3  1  2
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κοσματίου,2,2  914,314,2  0  600,208,3  2  1
Κρανέας,7,13  3.597,1.148,2  0  420,139,9  1  8
Κυδωνιών,4,7  1.679,566,0  0  0,0,5  1  4
Κυπαρισσίου,3,5  1.880,630,1  1  340,114,5  0  5
Κυρακαλής,3,4  7.597,1.370,1  0  273,91,2  0  2
Λάβδα,4,8  1.947,638,0  0  0,0,6  0  6
Μαυραναίων,15,24  6.500,2.106,3  1  171,72,16  4  12
Μεγάλου Σειρηνίου,5,9  3.323,966,2  2  1.510,261,6  2  4
Μεγάρου,15,27  6.702,2.152,1  0  312,108,15  2  13
Μεσολουρίου,6,9  3.323,1.137,0  0  0,0,11  2  9
Μηλέας,2,4  830,259,1  0  311,95,3  0  3
Μικρολιβάδου,11,18  5.671,1.690,0  0  0,0,13  2  11
Μοναχιτίου,9,15  4.360,1.397,1  0  252,92,11  2  9
Μυρσίνης,11,13  4.448,1.332,0  0  0,0,7  1  6
Οροπεδίου,6,15  3.183,1.027,3  3  485,162,9  1  8
Παλαιοχωρίου,7,11  5.046,1.267,0  0  0,0,4  0  4
Παλιουριάς,6,8  5.073,1.239,1  0  950,333,3  1  2
Πανοράματος,4,7  13.117,3.991,0  0  0,0,4  0  4
Παρασκευής,8,12  4.622,1.449,1  0  330,105,11  6  5
Περιβολίου,19,27  5.692,1.892,6  4  847,286,28  4  24
Πηγαδίτσης,1,1  602,178,0  0  0,0,1  0  1
Πολυδένδρου,1,1  239,75,0  0  0,0,1  0  1
Πολυνερίου,7,14  4.315,1.320,2  1  508,168,13  7  6
Ποντινής,2,2  466,168,1  0  99,33,0  0  0
Προσβόρρου,5,6  1.825,587,0  0  0,0,6  0  6
Ροδιάς,16,26  8.434,2.646,3  1  1.378,416,21  2  19
Σαμαρίνης,54,86  26.122,8.464,5  2  793,245,70  6  64
Σαρακήνας,6,7  2.496,789,0  0  0,0,3  0  3
Σμίξης,11,19  6.096,1.915,6  4  1.599,559,19  1  18
Σπηλαίου,11,21  5.577,1.784,0  0  0,0,11  0  11
Συνδένδρου,7,14  4.401,1.356,2  2  215,80,8  3  5
Ταξιάρχου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",7,12  3.540,1.070,1  0  404,147,8  1  7
Τρικοκκιάς,5,8  2.240,726,2  0  609,207,6  1  5
Τρικώμου,1,2  669,227,2  1  537,186,2  1  1
Φελλίου,7,12  3.382,1.028,1  0  230,86,6  1  5
Φιλιππαίων,18,32  8.170,2.694,2  0  136,40,21  0  21
ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,275,505  304.018,89.279,40  26  18.194,6.038,462  47  415
Ακριτών,4,8  4.328,1.286,0  0  0,0,4  0  4
¶ργους Ορεστικού,47,102  67.145,21.889,21  20  9.739,3.223,150  20  130
Βιτσίου,21,32  14.376,4.034,2  1  567,176,18  1  17
Καστορίας,59,165  79.918,25.346,5  1  3.223,1.068,125  6  119
Αγίου Αντωνίου,3,6  2.410,750,0  0  0,0,6  0  6
Αγίου Ηλία,1,2  394,123,0  0  0,0,1  0  1
Αμμουδάρας,4,8  12.153,3.490,1  2  1.018,358,5  0  5
Αμπελοκήπων,10,13  8.482,2.656,0  0  0,0,11  0  11
Αυγής,2,2  274,86,0  0  0,0,2  2  0
Βασιλειάδος,3,3  1.636,518,0  0  0,0,2  0  2
Βογατσικού,15,16  9.984,2.344,0  0  0,0,14  2  12
Γέρμα,3,3  1.372,441,0  0  0,0,3  0  3
?ενδροχωρίου,0,0  0,0,1  1  413,120,1  0  1
?ισπηλίου,11,18  37.454,7.279,2  0  610,238,15  2  13
Ιεροπηγής,1,1  317,99,0  0  0,0,1  0  1
Κλεισούρας,2,4  1.771,510,0  0  0,0,3  1  2
Κορησού,13,16  7.841,1.959,2  0  953,301,13  6  7
Κοτύλης,1,1  1.000,370,0  0  0,0,0  0  0
Κωσταραζίου,7,16  7.347,2.114,1  0  329,117,8  1  7
Λακκωμάτων,1,1  418,119,0  0  0,0,0  0  0
Λεύκης,6,7  3.875,1.199,0  0  0,0,7  2  5
Λιθιάς,8,10  3.212,1.036,0  0  0,0,8  1  7
Μακροχωρίου,2,3  1.666,541,0  0  0,0,2  0  2
Μανιάκων,10,14  9.025,2.854,2  0  489,161,16  2  14
Μαυροχωρίου,6,7  1.534,511,0  0  0,0,4  0  4
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Μελά,2,2  1.147,303,0  0  0,,0,1  0  1
Μελισσοτόπου,3,4  1.641,517,1  0  228,,76,3  0  3
Μεσοποταμιάς,13,19  11.429,3.436,0  0  0,,0,16  1  15
Μηλίτσας,3,3  1.254,382,0  0  0,,0,3  0  3
Νεστορίου,1,2  777,251,1  0  225,,75,1  0  1
Πενταβρύσου,3,5  4.348,1.111,0  0  0,,0,5  0  5
Πολυκάρπης,6,8  3.462,1.084,1  1  400,,125,8  0  8
Χιλιοδένδρου,4,4  2.028,641,0  0  0,,0,6  0  6
ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.231,2.148  1.340.530,433.172,261  167  115.676,,43.494,2.076  410  1.666
Νεάπολης,22,37  23.733,10.290,5  2  1.797,,1.013,45  3  42
Σιατίστης,21,44  21.899,9.773,10  4  4.904,,2.343,34  3  31
Τσοτιλίου,18,34  11.050,5.049,1  0  229,,210,24  6  18
Αγίας Σωτήρας,1,1  156,127,0  0  0,,0,1  1  0
Αγιάσματος,1,1  584,251,0  0  0,,0,0  0  0
Αγίων Αναργύρων,1,2  526,284,0  0  0,,0,1  0  1
Αυγερινού,1,1  753,387,0  0  0,,0,1  0  1
Γαλατινής,16,23  9.367,4.326,8  3  2.409,,1.207,18  5  13
?αμασκηνιάς,2,3  453,200,1  0  35,,11,1  1  0
?ιλόφου,1,2  765,226,0  0  0,,0,0  0  0
?ιχειμάρρου,1,1  295,147,0  0  0,,0,0  0  0
?ραγασιάς,2,2  588,297,0  0  0,,0,2  0  2
?ρυοβούνου,3,4  1.614,801,0  0  0,,0,4  1  3
Ερατύρας,7,10  6.297,2.718,3  1  384,,230,6  1  5
Καλονερίου,5,5  10.599,3.234,1  0  252,,70,3  1  2
Κλεισωρείας,1,2  323,139,1  0  197,,119,1  0  1
Κορυφής,0,0  0,0,1  1  1.284,,712,0  0  0
Λευκοθέας,1,1  144,48,0  0  0,,0,0  0  0
Λικνάδων,1,1  200,132,0  0  0,,0,1  0  1
Μικροκάστρου,6,7  3.024,1.356,1  0  357,,165,5  0  5
Μολόχας,1,1  166,107,0  0  0,,0,1  1  0
Μόρφης,0,0  0,0,1  2  262,,86,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Ναμάτων,3,4  798,321,0  0  0,,0,1  0  1
Παλαιοκάστρου,6,8  3.202,1.634,2  1  455,,210,9  4  5
Πελεκάνου,2,2  424,217,0  0  0,,0,0  0  0
Πενταλόφου,1,3  978,374,0  0  0,,0,1  0  1
Ροδοχωρίου,4,4  739,401,0  0  0,,0,2  0  2
Τραπεζίτσης,0,0  0,0,1  0  227,,128,0  0  0
Χορηγού,4,7  2.875,1.080,0  0  0,,0,3  0  3
Πτολεμαϊδος,94,256  193.109,56.094,33  36  23.000,,7.038,375  70  305
Αγίου Χριστοφόρου,9,10  12.130,3.213,3  2  771,,404,9  1  8
Αναρράχης,24,38  19.684,8.879,2  3  883,,404,37  5  32
Ανατολικού,13,17  6.549,3.066,4  1  475,,253,12  1  11
Αρδάσσης,24,30  19.137,8.242,5  3  1.790,,909,25  2  23
Ασβεστοπέτρας,21,22  9.233,4.815,5  4  1.572,,853,17  2  15
Βλάστης,22,34  13.136,6.336,2  2  645,,337,32  10  22
Γαλατείας,9,13  6.364,3.218,1  2  654,,303,9  1  8
?ροσερού,9,9  14.552,4.976,2  0  708,,301,6  0  6
Εμπορίου,15,21  15.221,6.429,0  0  0,,0,17  2  15
Καρυοχωρίου,6,10  2.952,1.354,0  0  0,,0,6  1  5
Κλείτου,0,0  0,0,1  0  303,,155,0  0  0
Κομνηνών,12,15  6.600,2.919,5  2  2.059,,1.020,14  0  14
Μαυροπηγής,2,2  478,266,2  1  411,,154,2  0  2
Μεσοβούνου,17,24  10.817,4.699,3  1  1.326,,701,15  0  15
Μηλοχωρίου,12,14  7.116,3.003,1  1  117,,52,11  0  11
Ολυμπιάδος,17,21  11.997,5.558,0  0  0,,0,19  1  18
Πενταβρύσου,4,6  1.696,864,0  0  0,,0,4  1  3
Περδίκκα,17,22  10.677,4.569,1  0  287,,164,10  0  10
Ποντοκώμης,14,14  7.988,3.781,4  2  1.531,,856,12  3  9
Προαστίου,5,7  2.783,1.353,3  1  926,,528,7  2  5
Πύργων,15,17  24.651,9.868,6  2  1.036,,686,11  1  10
Σπηλιάς,2,3  800,431,0  0  0,,0,2  0  2
Φούφα,20,24  12.194,5.529,0  0  0,,0,18  4  14
Βελβεντού,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",22,40  15.306,5.079,8  4  2.494,891,32  12  20
Κοζάνης,203,587  372.697,113.828,43  37  19.818,6.159,647  179  468
Πολυμύλου,5,5  1.872,662,0  0  0,0,4  0  4
Σερβίων,26,55  37.938,12.231,12  10  7.842,2.591,80  12  68
Φιλιππούπολης,19,26  11.087,3.770,0  0  0,0,17  1  16
Αγίας Παρασκευής,7,10  3.966,1.445,0  0  0,0,7  3  4
Αγίου ?ημητρίου,7,9  4.520,1.714,0  0  0,0,6  0  6
Αιανής,16,19  8.871,3.001,5  1  824,389,13  1  12
Ακρινής,10,12  4.288,1.344,0  0  0,0,9  0  9
Αλωνακίων,7,8  2.694,1.175,2  0  308,110,8  3  5
Ανθοτόπου,3,3  979,286,0  0  0,0,2  0  2
¶νω Κώμης,9,13  6.536,2.135,4  3  566,235,9  3  6
Αυλών,2,2  858,269,2  1  511,117,1  0  1
Βαθυλάκκου,13,18  8.185,3.082,0  0  0,0,13  1  12
Βατερού,10,12  11.621,2.885,3  6  1.247,380,10  0  10
Γουλών,2,2  476,157,0  0  0,0,0  0  0
?ρεπάνου,19,26  56.412,10.479,3  0  787,305,18  1  17
Ελάτης,9,11  4.719,1.837,1  0  378,126,15  4  11
Ιμέρων,0,0  0,0,1  1  465,117,1  0  1
Καισάρειας,5,5  2.582,1.025,1  0  513,285,6  1  5
Καλαμιάς,6,8  3.312,1.418,0  0  0,0,6  0  6
Καπνοχωρίου,3,3  3.182,702,2  2  396,116,4  2  2
Καρυδίτσας,14,17  9.004,3.989,0  0  0,0,15  1  14
Κάτω Κώμης,5,7  2.851,1.155,0  0  0,0,6  2  4
Κερασέας,8,10  4.379,1.674,1  0  184,38,6  0  6
Κοιλάδος,12,23  5.589,2.368,1  0  739,246,12  1  11
