"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,34.494,70.010  48.273.752,13.147.974,16.644  15.613  10.894.792,2.673.249,88.516  25.291  63.225
ΑΤΤΙΚΗ,5.758,17.079  11.943.519,3.289.990,3.518  4.218  2.712.400,729.668,23.878  5.118  18.760
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ,669,3.243  2.127.295,642.093,392  520  272.116,83.652,4.796  1.212  3.584
Αθηναίων,375,1.940  1.471.626,444.257,177  223  151.958,40.845,2.887  695  2.192
Βύρωνος,56,234  112.538,33.848,27  37  14.076,4.380,312  103  209
Γαλατσίου,40,200  96.756,28.021,29  37  16.945,11.800,274  41  233
?άφνης,28,111  41.463,12.548,20  24  15.784,4.200,126  54  72
Ζωγράφου,25,139  68.997,23.605,16  43  13.699,4.146,232  74  158
Ηλιουπόλεως,71,297  141.914,40.694,83  108  38.455,11.934,421  110  311
Καισαριανής,20,103  46.174,14.717,4  7  4.357,1.450,171  64  107
Νέας Φιλαδελφείας,19,87  56.988,16.987,11  15  4.301,1.273,157  59  98
Νέας Χαλκηδόνος,12,54  55.205,16.270,4  6  2.728,667,115  0  115
Ταύρου,12,49  24.960,7.847,12  13  7.529,2.243,74  7  67
Υμηττού,11,29  10.674,3.299,9  7  2.284,714,27  5  22
ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ,2.594,6.225  4.595.804,1.299.210,1.119  1.291  896.691,248.552,8.198  1.447  6.751
ΑΤΤΙΚΗΣ,,,,,,
Βύρωνος,0,0  0,0,1  0  840,280,0  0  0
Αγίας Παρασκευής,101,320  259.132,74.916,45  61  30.497,9.017,518  63  455
Αμαρουσίου,121,387  422.193,127.019,47  53  44.132,11.549,607  108  499
Βριλησσίων,58,179  189.836,49.363,25  25  20.148,6.000,319  33  286
Ηρακλείου,63,194  166.548,46.711,43  64  29.036,7.725,358  77  281
Κηφισιάς,121,298  327.824,92.960,58  60  48.479,15.174,472  33  439
Μελισσίων,44,128  96.186,27.909,23  29  16.740,4.954,198  20  178
Μεταμορφώσεως,46,168  153.850,36.276,36  42  50.569,13.185,301  34  267
Νέας Ερυθραίας,48,115  98.139,29.511,25  38  16.449,4.731,168  32  136
Νέας Ιωνίας,48,204  104.718,31.528,45  53  33.975,10.409,347  141  206
Νέου Ψυχικού,8,38  18.799,5.466,11  8  3.163,882,38  9  29
Παπάγου,13,41  19.165,6.057,20  34  16.006,4.951,75  18  57
Πεύκης,25,100  74.819,21.784,13  16  9.728,2.862,132  14  118
Φιλοθέης,9,21  25.012,6.836,7  11  5.460,1.477,37  2  35
Χαλανδρίου,111,333  205.646,59.588,64  87  39.826,11.761,458  80  378
Χολαργού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",15,63  36.229,11.162,14  21  6.932,1.960,102  17  85
Ψυχικού,8,18  15.983,4.270,23  37  28.578,8.336,68  9  59
Γέρακα,192,437  233.798,70.950,49  61  24.782,7.594,488  90  398
Εκάλης,16,32  30.301,8.768,8  6  6.451,1.857,42  1  41
Λυκοβρύσεως,20,67  38.479,10.765,14  26  20.232,5.277,83  13  70
Νέας Πεντέλης,21,48  26.080,7.859,7  14  3.516,1.116,50  0  50
Πεντέλης,22,43  23.866,7.203,9  10  6.101,1.764,58  6  52
Αυλώνος,14,25  45.620,9.346,7  6  2.173,654,24  1  23
Αχαρνών,220,497  333.271,93.485,98  115  102.441,23.412,674  163  511
Κερατέας,27,47  20.130,6.383,14  11  5.216,1.553,43  9  34
Κρωπίας,99,170  196.464,45.376,55  52  64.668,16.980,126  20  106
Λαυρεωτικής,7,18  20.845,5.743,8  8  3.302,919,32  12  20
Μαραθώνος,31,53  30.540,8.265,9  9  6.408,1.802,45  5  40
Μαρκοπούλου Μεσογαίας,152,330  196.171,56.686,30  29  21.899,4.592,324  76  248
Νέας Μάκρης,101,210  91.200,25.926,47  34  21.090,4.563,226  52  174
Παιανίας,19,34  25.328,6.301,19  20  46.488,13.877,39  3  36
Παλλήνης,141,311  257.421,68.264,46  55  29.686,8.928,388  77  311
Σπάτων-Λούτσας,40,72  69.052,18.072,13  11  25.656,4.291,67  8  59
Αγίου Κωνσταντίνου,3,6  1.133,378,1  0  95,33,5  3  2
Αγίου Στεφάνου,36,72  48.858,14.535,12  10  12.147,2.942,78  0  78
Αναβύσσου,23,48  32.029,10.195,4  2  1.515,442,67  37  30
Ανθούσης,1,3  500,167,0  0  0,0,1  0  1
Ανοίξεως,21,41  30.962,9.261,11  12  7.906,2.474,47  3  44
Αρτέμιδος (Λούτσας),67,116  43.004,13.247,22  30  7.255,2.159,116  42  74
Αφιδνών,8,15  8.627,2.615,2  2  1.610,431,11  1  10
Βαρνάβα,7,10  3.619,1.032,4  0  2.365,556,10  4  6
Γλυκών Νερών,43,94  68.593,19.481,8  9  3.883,1.106,110  12  98
Γραμματικού,5,8  2.863,888,3  1  12.931,6.821,6  0  6
?ιονύσου,28,58  52.355,14.834,5  2  6.641,1.869,60  1  59
?ροσιάς,19,47  49.666,14.420,9  11  4.371,1.217,79  2  77
Θρακομακεδόνων,18,37  27.106,8.146,8  5  3.329,1.039,37  5  32
Καλάμου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",11,16  10.033,3.041,0  0  0,,0,21  4  17
Καλυβίων Θορικού,66,119  76.416,21.501,29  35  12.750,,3.735,105  14  91
Καπανδριτίου,33,56  34.479,10.321,7  9  2.387,,759,50  2  48
Κουβαρά,2,2  6.334,920,1  0  60,,20,2  1  1
Κρυονερίου,20,37  24.174,7.016,5  8  8.702,,2.600,42  1  41
Μαλακάσης,1,1  400,127,0  0  0,,0,1  0  1
Μαρκοπούλου Ωρωπού,8,13  7.356,1.969,1  1  376,,126,11  1  10
Νέων Παλατίων,7,12  5.200,1.349,4  3  437,,129,11  3  8
Παλαιάς Φωκαίας,4,9  4.570,1.441,2  1  285,,111,7  1  6
Πικερμίου,68,142  79.061,22.543,9  8  3.908,,1.166,113  7  106
Πολυδενδρίου,8,14  6.402,1.775,0  0  0,,0,8  1  7
Ραφήνας,54,110  53.944,16.944,23  21  9.317,,3.244,142  29  113
Ροδοπόλεως (Μπάλας),1,2  1.120,343,1  1  721,,168,2  0  2
Σαρωνίδος,25,54  31.426,10.530,7  5  1.671,,523,86  35  51
Σκάλας Ωρωπού,6,9  2.051,624,3  6  724,,255,12  4  8
Σταμάτας,19,40  19.259,5.628,2  0  360,,103,20  1  19
Συκαμίνου,7,11  4.185,1.047,0  0  0,,0,9  2  7
Ωρωπού,14,22  7.434,2.144,2  2  180,,62,21  4  17
Αιγάλεω,0,0  0,0,1  1  98,,30,1  1  0
ΝΟΜΑΡΧΙΑ ?ΥΤΙΚΗΣ,1.054,2.677  2.432.561,535.590,787  954  622.194,,152.565,3.731  690  3.041
ΑΤΤΙΚΗΣ,,,,,,,
Αγίας Βαρβάρας,20,56  32.934,9.419,22  29  9.997,,2.945,100  23  77
Αγίων Αναργύρων,30,93  78.428,19.829,43  52  20.762,,6.142,234  37  197
Αιγάλεω,75,192  88.601,25.392,88  97  71.924,,19.098,293  60  233
Καματερού,103,215  162.519,40.626,41  55  21.536,,6.425,290  58  232
Κορυδαλλού,55,217  84.171,26.234,49  63  25.565,,7.356,277  58  219
Νέων Λιοσίων,17,43  40.536,11.940,14  17  7.891,,2.423,74  4  70
Περιστερίου,139,469  205.047,64.120,148  185  78.780,,22.590,622  179  443
Πετρουπόλεως,69,258  139.070,40.979,53  74  33.164,,10.125,388  37  351
Χαϊδαρίου,78,218  136.262,39.557,46  55  24.135,,7.020,327  43  284
Ασπροπύργου,44,78  289.484,52.695,32  35  119.180,,20.293,86  14  72
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Βιλίων,13,22  5.903,1.807,11  7  2.364,817,26  8  18
Ελευσίνος,38,93  125.302,26.660,28  33  18.207,5.589,113  10  103
Ερυθρών,5,8  6.461,1.510,2  2  479,163,6  1  5
Μάνδρας,25,40  128.223,20.026,20  12  75.820,10.377,43  9  34
Μεγαρέων,76,107  159.185,28.476,43  35  28.908,6.662,113  26  87
Μαγούλας,23,43  490.870,53.250,12  12  8.392,2.429,40  7  33
Νέας Περάμου,12,19  5.687,1.694,5  9  1.929,610,19  3  16
Οινόης,1,2  517,159,1  2  1.111,278,3  0  3
¶νω Λιοσίων,213,466  235.366,65.765,119  170  67.302,19.783,642  111  531
Ζεφυρίου,12,30  12.091,3.764,8  9  3.254,995,31  2  29
Φυλής,6,8  5.904,1.688,2  1  1.494,445,4  0  4
ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ,1.441,4.934  2.787.859,813.097,1.220  1.453  921.399,244.899,7.153  1.769  5.384
Ασπροπύργου,0,0  0,0,1  3  1.320,393,1  0  1
Αγίου ?ημητρίου,111,374  176.730,51.978,94  119  48.403,14.226,514  137  377
Αγίου Ιωάννου Ρέντη,6,17  204.976,48.811,22  28  53.417,12.983,61  5  56
Αλίμου,75,235  165.275,45.380,68  90  57.369,14.854,389  111  278
Αργυρουπόλεως,52,185  104.024,30.501,80  109  52.132,14.822,317  98  219
Βουλιαγμένης,12,24  19.535,6.415,2  1  519,103,30  1  29
Γλυφάδας,196,606  371.022,106.564,105  104  58.948,17.710,810  154  656
?ραπετσώνας,9,38  31.669,9.964,23  20  16.163,3.657,116  40  76
Ελληνικού,28,107  69.160,19.799,19  17  12.532,3.265,157  27  130
Καλλιθέας,39,218  106.891,33.078,45  40  23.629,5.191,302  97  205
Κερατσινίου,78,378  150.193,44.926,121  158  63.068,19.223,601  169  432
Μοσχάτου,40,156  95.542,28.985,26  36  23.033,6.200,266  83  183
Νέας Σμύρνης,78,428  221.542,67.508,30  25  17.605,5.906,513  92  421
Νικαίας,107,437  174.906,52.114,93  124  49.245,14.435,559  137  422
Παλαιού Φαλήρου,63,308  198.662,59.875,48  80  42.265,11.653,520  64  456
Πειραιώς,180,744  372.466,111.859,155  208  179.017,46.295,1.058  256  802
Περάματος,20,73  34.293,9.844,43  54  121.745,24.369,132  31  101
Βάρης,75,164  97.163,29.972,16  15  8.470,2.362,154  27  127
Αιγίνης,71,113  47.441,13.846,51  61  16.532,5.180,157  45  112
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αγκιστρίου,9,14  6.440,1.512,3  4  989,335,15  4  11
Βαθέος,4,6  1.248,360,4  4  1.263,382,10  6  4
Κυψέλης,2,3  603,172,2  2  362,119,4  3  1
Μεσαγρού,6,7  2.638,759,5  5  2.124,619,12  4  8
Πέρδικας,1,1  1.311,412,0  0  0,0,3  0  3
Αρωνιαδίκων,1,1  255,73,2  0  253,83,2  1  1
Καραβά,0,0  0,0,1  0  180,60,1  1  0
Κυθήρων,38,59  23.313,6.864,37  28  15.362,4.702,108  57  51
Λογοθετιανίκων,0,0  0,0,1  1  200,55,1  1  0
Μητάτων,0,0  0,0,1  0  82,30,0  0  0
Ποταμού,1,2  665,199,1  0  10,4,2  1  1
Φριλιγκιανίκων,1,2  1.098,275,0  0  0,0,1  0  1
Σαλαμίνος,61,99  42.612,11.882,48  51  26.693,7.200,113  28  85
Σπετσών,16,29  19.227,5.807,21  17  9.187,2.675,69  22  47
Αιαντείου,4,8  4.022,902,2  1  1.439,320,5  1  4
Αμπελακίων,10,18  6.997,1.988,9  6  2.566,807,22  5  17
Σεληνίων,2,5  1.906,563,2  1  622,177,6  2  4
Λουτροπόλεως Μεθάνων,8,18  4.590,1.312,4  4  1.793,803,25  17  8
Πόρου,12,19  7.049,2.070,16  14  6.223,1.781,36  9  27
¶νω Φαναρίου,1,2  710,185,1  1  150,50,3  1  2
Γαλατά,1,2  652,163,2  3  1.231,349,6  5  1
?ρυόπης,0,0  0,0,1  1  138,46,1  1  0
Τροιζήνος,18,26  18.927,5.527,7  8  1.983,631,35  17  18
Ύδρας,5,8  2.106,653,8  10  3.137,844,16  9  7
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕ?ΟΝΙΑ &,2.070,3.883  3.233.033,817.732,899  764  529.425,134.630,5.137  1.388  3.749
ΘΡΑΚΗ,,,,,,
ΝΟΜΟΣ ?ΡΑΜΑΣ,405,733  580.358,154.415,158  133  119.195,28.058,743  137  606
?οξάτου,14,19  7.682,2.535,17  16  14.436,2.291,26  6  20
?ράμας,193,452  335.891,96.841,65  58  38.644,10.646,566  104  462
Κάτω Νευροκοπίου,8,10  3.213,994,8  9  6.277,1.944,9  0  9
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Προσοτσάνης,24,39  47.718,9.385,11  10  6.129,1.451,25  4  21
Αγίας Παρασκευής,0,0  0,0,1  2  450,147,7  7  0
Αγίου Αθανασίου,6,7  6.224,1.069,2  3  791,264,3  0  3
Αδριανής,9,12  20.886,4.640,3  2  4.678,896,7  1  6
¶νω Πυξαρίου,2,2  2.297,585,0  0  0,0,1  0  1
Αργυρουπόλεως,1,1  338,92,0  0  0,0,1  0  1
Βώλακος,5,8  4.560,1.429,0  0  0,0,2  0  2
Γρανίτου,1,2  498,166,0  0  0,0,1  0  1
?ασωτού,1,1  628,157,0  0  0,0,0  0  0
Καλαμπακίου,16,26  11.113,3.066,4  4  1.615,2.154,14  3  11
Καλαμώνος,0,0  0,0,1  0  160,55,1  0  1
Καλής Βρύσης,1,1  1.344,200,0  0  0,0,0  0  0
Καλλιθέας,3,3  1.981,431,1  1  310,97,2  0  2
Καλλιφύτου,14,16  8.035,2.181,3  3  1.311,428,8  1  7
Καλού Αγρού,2,3  2.507,699,2  1  380,459,1  0  1
Κάτω Βροντούς,5,5  5.794,1.212,0  0  0,0,0  0  0
Κεφαλαρίου,0,0  0,0,2  1  1.430,314,2  0  2
Κοκκινογείων,3,3  2.839,577,3  0  681,184,1  0  1
Κουδουνίων,2,2  1.387,470,1  1  357,119,3  0  3
Κυρίων,10,13  6.354,2.095,4  2  550,279,11  2  9
Λευκογείων,3,3  3.552,510,0  0  0,0,0  0  0
Μαυροβάτου,8,12  5.866,1.520,1  1  402,103,6  0  6
Μαυρολεύκης,2,2  547,167,1  1  415,119,2  0  2
Μικροπόλεως,0,0  0,0,1  0  644,160,1  0  1
Μικροχωρίου,2,4  920,258,1  0  0,0,2  0  2
Μοναστηρακίου,3,5  1.918,619,1  1  107,49,4  1  3
Μυλοποτάμου,3,5  6.700,1.557,1  0  223,72,1  0  1
Νεροφράκτου,2,2  992,264,2  0  90,78,1  0  1
Νικηφόρου,4,5  988,305,0  0  0,0,2  1  1
Ξηροποτάμου,11,13  5.891,1.647,10  4  27.445,3.595,7  1  6
Οχυρού,4,4  9.328,2.111,0  0  0,0,0  0  0
Πανοράματος,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  405,141,0  0  0,,0,1  0  1
Παρανεστίου,3,3  7.079,1.738,1  1  309,,103,2  0  2
Περιθωρίου,2,2  4.412,1.293,0  0  0,,0,0  0  0
Πετρούσσης,10,11  7.430,1.780,2  2  4.612,,230,2  0  2
Πλατανιάς,1,1  492,153,0  0  0,,0,1  0  1
Πτελέας Πλατανιάς,1,2  975,354,0  0  0,,0,1  0  1
Πύργων,1,1  250,96,0  0  0,,0,1  0  1
Σιταγρών,5,6  9.450,1.564,5  5  1.278,,432,7  5  2
Σκαλωτής,1,2  3.157,1.035,0  0  0,,0,0  0  0
Φτελιάς,1,1  2.250,500,0  0  0,,0,0  0  0
Φωτολίβους,3,3  1.497,425,0  0  0,,0,3  0  3
Χαριτωμένης,2,4  1.193,365,0  0  0,,0,2  0  2
Χρυσοκεφάλου,1,1  1.200,300,0  0  0,,0,0  0  0
Χωριστής,11,15  32.577,6.889,4  5  5.471,,1.389,6  1  5
ΝΟΜΟΣ ΚΑΒΑΛΑΣ,490,914  532.802,155.066,226  207  137.287,,37.060,1.176  366  810
Θάσου,17,30  16.192,5.010,4  2  5.869,,756,33  16  17
Θεολόγου,8,14  4.323,1.347,4  8  1.634,,529,22  12  10
Καλλιράχης,8,13  5.381,1.488,4  3  654,,207,11  6  5
Λιμεναρίων,7,12  5.318,1.697,1  1  84,,30,5  1  4
Μαριών,0,0  0,0,2  2  474,,150,2  1  1
Παναγίας,7,12  4.349,1.397,1  1  1.510,,500,9  3  6
Ποταμιάς,17,26  9.992,3.260,6  4  2.560,,634,20  11  9
Πρίνου,5,8  5.762,1.713,2  1  388,,137,11  3  8
Ραχωνίου,3,4  1.168,352,4  5  1.312,,368,7  2  5
Σωτήρος,3,5  2.410,677,4  3  1.339,,370,7  2  5
Καβάλας,80,255  117.593,40.444,30  36  32.050,,9.664,356  54  302
Αμισιανών,5,6  2.508,743,3  2  887,,245,7  4  3
Αμυγδαλεώνος,19,30  14.681,3.983,2  1  394,,121,19  3  16
Ζυγού,12,17  6.211,2.054,3  3  758,,242,14  2  12
Κοκκινοχώματος,9,18  13.216,3.826,2  2  2.396,,654,15  4  11
Κορυφών,1,1  448,112,1  1  218,,69,1  1  0
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κρηνίδων,10,13  8.351,2.683,11  12  6.040,1.606,22  3  19
Κρυονερίου,4,6  2.570,850,5  3  1.211,381,9  3  6
Λιμνιών,0,0  0,0,2  0  381,109,0  0  0
Λυδίας,3,5  1.701,538,4  3  670,258,4  1  3
Νέας Καρβάλης,12,18  25.139,5.010,7  4  6.455,1.751,15  4  11
Παλαιάς Καβάλας,3,3  1.628,577,1  1  84,28,4  1  3
Πολυστύλου,14,19  13.498,3.023,1  1  228,79,8  1  7
Φιλίππων,9,10  7.527,2.139,5  6  1.894,574,9  0  9
Χαλκερού,4,5  6.419,1.376,0  0  0,0,4  2  2
Χρυσουπόλεως,32,57  33.904,10.477,18  19  13.587,3.497,63  11  52
Αβραμυλιάς,1,2  461,120,1  0  217,70,2  0  2
Αγιάσματος,0,0  0,0,4  4  1.318,432,3  1  2
Γέροντα,1,2  250,50,1  1  1.202,275,1  0  1
Γραβούνης,3,4  1.940,498,0  0  0,0,1  0  1
?ιαλεκτού,2,3  944,290,0  0  0,0,2  0  2
?ιποτάμου,1,2  375,117,0  0  0,0,1  0  1
?υσβάτου,1,1  2.854,822,0  0  0,0,0  0  0
Ερατεινού,0,0  0,0,3  1  6.719,1.583,1  1  0
Ζαρκαδιάς,2,3  1.922,599,2  3  896,263,6  2  4
Κεραμωτής,10,15  6.375,1.871,10  4  4.455,1.266,15  1  14
Κεχροκάμπου,4,6  5.569,1.299,0  0  0,0,4  1  3
Νέας Καρυάς,2,3  5.884,1.596,2  2  413,134,2  1  1
