Ξεριά,3,3  557,176,0  0  0,0,2  2  0
Παραδείσου,1,1  212,73,0  0  0,0,1  1  0
Πέρνης,5,9  3.474,1.054,2  0  139,43,7  3  4
Πετροπηγής,0,0  0,0,1  0  7.360,1.472,0  0  0
Πηγών,2,2  933,324,4  2  900,255,6  3  3
Ποντολιβάδου,3,4  31.110,4.359,1  0  5.085,636,0  0  0
Χρυσοχωρίου,1,1  144,48,2  0  5.776,1.454,2  2  0
Ελευθερουπόλεως,15,26  14.233,3.864,12  13  4.630,1.408,24  3  21
Αγίου Ανδρέου,7,7  17.702,3.546,2  1  694,222,5  1  4
Ακροποτάμου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",1,1  329,103,2  1  340,105,2  0  2
Αντιφιλίππων,1,2  827,287,2  2  624,200,3  0  3
Αυλής,1,1  440,110,1  2  855,269,2  0  2
Γαληψού,0,0  0,0,1  1  180,53,1  1  0
Γεωργιανής,3,3  5.353,853,3  2  603,195,3  2  1
?ωματίων,0,0  0,0,1  1  106,42,0  0  0
Ελαιοχωρίου,3,4  3.692,836,0  0  0,0,2  0  2
Ελευθερών,2,2  305,95,1  1  93,31,2  1  1
Καριανής,17,25  5.122,1.688,0  0  0,0,42  40  2
Κηπίων,2,2  371,108,1  0  58,21,2  2  0
Μελισσοκομείου,1,2  362,141,0  0  0,0,1  0  1
Μεσιάς,2,4  1.394,460,0  0  0,0,2  0  2
Μεσορόπης,2,4  1.772,503,0  0  0,0,2  0  2
Μουσθένης,1,2  1.231,361,3  2  420,147,2  0  2
Μυρτοφύτου,1,2  532,217,1  2  236,74,3  2  1
Νέας Ηρακλίτσης,18,33  19.042,6.395,0  0  0,0,59  32  27
Νέας Περάμου,14,26  33.050,10.883,0  0  0,0,84  37  47
Νικήσιανης,8,10  4.367,991,9  8  2.449,792,13  8  5
Ορφανίου,6,9  3.623,1.074,1  1  139,42,15  13  2
Οφρυνίου,41,86  39.719,12.613,17  20  4.389,1.323,158  53  105
Παλαιοχωρίου,4,5  1.014,333,2  1  640,214,3  0  3
Πλατανοτόπου,4,7  3.913,1.180,1  0  541,163,7  2  5
Ποδοχωρίου,1,2  894,276,5  6  2.133,729,3  0  3
Σιδηροχωρίου,1,1  222,77,0  0  0,0,1  0  1
Φωλέας,0,0  0,0,1  2  600,188,2  0  2
ΝΟΜΟΣ ΕΒΡΟΥ,403,799  897.648,217.149,239  219  108.606,32.397,1.237  408  829
Μελισσουργών,1,1  233,65,0  0  0,0,1  0  1
Αλεξανδρουπόλεως,193,478  532.313,129.822,81  78  48.539,14.091,706  252  454
Φερών,12,14  20.280,5.466,3  2  2.047,566,6  1  5
¶βαντος,2,3  1.843,638,2  1  2.455,617,3  0  3
Αισύμης,1,2  569,169,0  0  0,0,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ανθείας,5,6  3.477,796,3  2  692,248,5  0  5
?ωρικού,1,2  475,127,0  0  0,0,1  0  1
Κίρκης,0,0  0,0,1  0  71,19,1  1  0
Λουτρού,3,3  16.773,2.876,2  1  1.052,266,4  1  3
Μάκρης,10,17  6.120,2.072,1  1  166,52,17  9  8
?ιδυμοτείχου,35,46  60.150,15.487,45  42  14.275,4.534,141  15  126
Αμορίου,0,0  0,0,1  1  68,24,0  0  0
Ασβεστάδων,1,1  1.351,328,0  0  0,0,0  0  0
Ελληνοχωρίου,1,1  210,60,1  0  75,18,0  0  0
Θουρίου,1,1  1.934,558,0  0  0,0,0  0  0
Λαβάρων,4,4  2.732,604,1  0  308,74,2  0  2
Μεταξάδων,2,2  390,132,0  0  0,0,1  0  1
Πρωτοκκλησίου,0,0  0,0,2  2  485,162,2  0  2
Ορεστιάδος,81,154  119.637,33.412,75  73  29.689,9.403,293  97  196
Βάλτου,1,1  1.944,432,0  0  0,0,0  0  0
?ικαίων,2,2  28.680,4.300,1  0  531,175,0  0  0
Ζώνης,2,2  17.112,2.272,0  0  0,0,0  0  0
Καβύλης,1,1  211,66,1  1  283,81,0  0  0
Καστανεών,0,0  0,0,1  1  292,101,1  0  1
Κυπρίνου,5,5  4.770,1.279,1  0  480,150,0  0  0
Μαρασίων,2,3  448,121,0  0  0,0,0  0  0
Νέας Βύσσης,6,8  9.197,1.758,2  1  532,154,3  0  3
Νέου Χειμωνίου,1,1  1.584,264,0  0  0,0,0  0  0
Νεοχωρίου,2,2  1.166,233,0  0  0,0,0  0  0
Πενταλόφου,1,1  261,75,0  0  0,0,0  0  0
Πτελέας,1,1  3.242,600,0  0  0,0,0  0  0
Σπηλαίου,1,1  280,80,0  0  0,0,1  0  1
Φυλακίου,1,1  364,104,0  0  0,0,1  0  1
Σαμοθράκης,9,14  7.018,2.211,3  3  872,278,27  23  4
Σουφλίου,8,10  24.742,4.611,6  6  2.590,618,5  2  3
Τυχερού,5,8  27.174,5.792,3  2  639,209,12  7  5
?αδιάς,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,2  460,167,0  0  0,,0,1  0  1
Λευκίμμης,0,0  0,0,1  0  1.956,,391,0  0  0
Λύρας,0,0  0,0,1  1  245,,72,0  0  0
Προβατώνος,0,0  0,0,1  1  264,,94,1  0  1
Σελέρου,1,1  508,172,0  0  0,,0,1  0  1
ΝΟΜΟΣ ΞΑΝΘΗΣ,452,800  529.528,141.802,47  38  18.741,,5.857,944  34  910
Ξάνθης,95,289  231.620,70.243,18  15  11.287,,3.628,523  17  506
Σταυρουπόλεως,3,5  1.824,581,2  2  630,,200,9  2  7
Αβάτου,8,10  3.244,976,0  0  0,,0,6  0  6
Αβδήρων,14,19  6.181,2.349,1  1  447,,150,15  0  15
Γαλάνης,3,4  1.130,332,0  0  0,,0,3  0  3
Γενισέας,8,8  5.436,1.464,1  0  90,,30,6  2  4
