"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,35.196,70.954  50.385.098,13.975.463,16.326  15.368  12.436.376,3.052.585,89.380  26.366  63.014
ΑΤΤΙΚΗ,8.054,22.575  14.843.167,4.224.740,3.643  4.321  2.989.779,849.725,28.633  6.421  22.212
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ,871,4.194  2.599.408,773.641,426  512  307.785,87.545,5.775  1.642  4.133
Αθηναίων,415,2.114  1.435.689,421.739,152  185  161.883,44.184,2.842  786  2.056
Βύρωνος,73,329  140.160,44.960,38  59  18.953,5.755,407  138  269
Γαλατσίου,39,217  122.451,38.017,16  15  7.774,2.419,335  65  270
?άφνης,36,141  61.817,18.894,21  25  9.870,2.845,178  80  98
Ζωγράφου,46,280  118.364,37.371,17  17  6.415,2.058,367  153  214
Ηλιουπόλεως,76,273  118.273,35.537,113  140  57.607,17.211,436  107  329
Καισαριανής,24,127  62.016,18.520,2  4  550,54,207  76  131
Νέας Φιλαδελφείας,29,101  67.306,18.443,16  18  8.886,2.636,128  18  110
Νέας Χαλκηδόνος,19,77  38.904,12.834,5  5  2.152,673,82  1  81
Ταύρου,20,73  45.503,13.485,12  14  15.041,4.116,98  13  85
Υμηττού,17,50  17.394,4.931,10  7  2.763,879,47  11  36
Βριλησσίων,77,412  371.531,108.910,19  18  13.083,3.810,640  193  447
Κηφισιάς,0,0  0,0,2  1  1.071,339,2  0  2
Μεταμορφώσεως,0,0  0,0,2  2  1.107,365,4  0  4
Χαλανδρίου,0,0  0,0,1  2  630,201,2  1  1
ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ,3.999,9.182  6.705.697,1.876.651,1.260  1.485  1.075.321,278.997,10.899  1.985  8.914
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Παρασκευής,104,333  241.488,73.354,49  67  34.686,10.219,513  98  415
Αμαρουσίου,162,505  437.188,133.119,55  86  40.422,11.121,753  157  596
Βριλησσίων,61,172  135.496,40.427,20  19  30.318,5.049,269  35  234
Ηρακλείου,100,328  185.537,55.129,60  73  34.826,10.414,443  86  357
Κηφισιάς,183,433  353.371,107.918,55  61  57.665,15.259,500  66  434
Μελισσίων,41,132  89.694,27.245,16  25  9.275,2.890,205  36  169
Μεταμορφώσεως,68,207  260.971,56.756,43  58  40.020,10.375,305  58  247
Νέας Ερυθραίας,85,202  149.854,43.393,20  22  9.324,3.070,211  34  177
Νέας Ιωνίας,93,376  235.503,70.782,51  60  23.462,7.631,668  138  530
Νέου Ψυχικού,25,101  60.318,17.397,12  17  9.696,2.872,120  17  103
Παπάγου,22,64  35.599,10.866,24  38  16.376,4.839,97  10  87
Πεύκης,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",29,81  62.157,18.915,10  9  7.003,1.986,148  8  140
Φιλοθέης,15,34  28.898,8.253,11  11  5.367,1.647,41  8  33
Χαλανδρίου,160,446  262.122,79.278,72  106  69.400,21.406,704  153  551
Χολαργού,26,92  66.208,19.360,13  15  9.593,2.609,143  23  120
Ψυχικού,36,87  77.014,21.563,16  22  13.662,3.847,133  14  119
Γέρακα,296,640  422.194,116.711,44  54  36.890,9.612,667  121  546
Εκάλης,21,41  56.203,17.000,10  5  7.610,2.416,76  15  61
Λυκοβρύσεως,13,41  26.192,8.413,4  1  1.600,454,60  7  53
Νέας Πεντέλης,32,72  41.951,12.683,9  15  8.034,2.410,91  7  84
Πεντέλης,30,60  42.463,13.297,8  8  6.498,2.031,71  5  66
Αυλώνος,13,18  113.030,13.624,9  6  29.292,7.989,28  2  26
Αχαρνών,455,884  662.118,166.377,126  121  77.586,19.752,845  170  675
Κερατέας,39,63  27.035,8.431,23  23  9.264,2.848,77  16  61
Κρωπίας,110,177  430.466,87.582,55  43  171.828,33.758,140  31  109
Λαυρεωτικής,17,28  23.185,6.672,13  9  9.619,2.180,43  4  39
Μαραθώνος,49,80  52.726,13.086,19  17  14.339,3.821,99  26  73
Μαρκοπούλου Μεσογαίας,173,343  243.563,70.257,52  42  32.924,8.608,411  83  328
Νέας Μάκρης,104,203  109.764,35.152,40  40  16.048,4.796,253  83  170
Παιανίας,57,110  121.835,27.920,24  20  27.596,7.816,98  18  80
Παλλήνης,136,308  181.907,55.527,39  52  36.578,9.142,376  77  299
Σπάτων-Λούτσας,49,101  76.157,20.973,17  18  16.121,3.373,78  3  75
Αγίου Κωνσταντίνου,5,8  3.946,1.246,3  1  651,216,8  1  7
Αγίου Στεφάνου,89,160  121.143,35.105,14  13  19.635,5.001,155  9  146
Αναβύσσου,25,55  30.736,9.361,2  1  1.012,292,49  13  36
Ανοίξεως,51,90  55.002,16.715,11  108  5.689,1.735,91  17  74
Αρτέμιδος (Λούτσας),195,330  118.616,35.232,41  40  12.228,3.709,275  74  201
Αφιδνών,33,64  38.062,11.822,3  4  13.710,1.741,54  6  48
Βαρνάβα,13,20  9.059,2.879,1  2  434,158,18  8  10
Γλυκών Νερών,81,207  123.101,39.460,27  28  25.889,5.724,251  45  206
Γραμματικού,8,16  11.140,3.460,2  1  1.328,410,23  3  20
?ιονύσου,52,111  80.190,23.625,3  4  3.369,979,96  6  90
?ροσιάς,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",29,68  65.638,19.626,8  11  4.818,1.583,107  5  102
Θρακομακεδόνων,34,68  46.358,13.855,7  9  7.589,2.473,70  12  58
Καλάμου,13,21  12.832,3.909,3  3  802,265,26  6  20
Καλυβίων Θορικού,150,276  184.025,48.294,45  35  18.282,5.587,222  42  180
Καπανδριτίου,100,274  107.732,40.919,6  7  3.803,1.138,154  15  139
Κουβαρά,5,6  4.920,1.193,4  2  979,317,5  1  4
Κρυονερίου,34,69  65.295,17.262,8  9  8.594,1.857,81  8  73
Μαλακάσης,3,6  3.033,919,3  2  1.980,644,7  0  7
Μαρκοπούλου Ωρωπού,11,20  15.967,4.943,3  2  4.706,1.137,20  6  14
Νέων Παλατίων,13,29  14.780,4.561,2  3  582,193,28  6  22
Παλαιάς Φωκαίας,14,32  13.508,3.956,1  1  181,58,23  7  16
Πικερμίου,84,171  91.250,26.562,6  6  7.109,1.772,132  10  122
Πολυδενδρίου,6,9  5.741,1.810,3  1  554,157,13  3  10
Ραφήνας,56,133  77.910,23.573,14  15  10.119,2.965,147  32  115
Ροδοπόλεως (Μπάλας),2,4  2.885,965,1  1  360,120,4  0  4
Σαρωνίδος,31,64  39.944,12.729,6  3  1.819,631,74  11  63
Σκάλας Ωρωπού,12,16  8.119,2.394,1  3  315,101,16  5  11
Σταμάτας,23,49  25.336,7.727,6  3  3.412,1.035,40  4  36
Συκαμίνου,3,4  1.146,340,1  1  864,288,4  1  3
Ωρωπού,19,35  13.085,3.914,6  3  1.586,471,33  13  20
Αγκιστρίου,1,5  2.991,835,0  0  0,0,7  7  0
ΝΟΜΑΡΧΙΑ ?ΥΤΙΚΗΣ,1.455,3.238  2.295.366,596.503,771  834  730.950,207.209,3.952  693  3.259
ΑΤΤΙΚΗΣ,,,,,,
Νέας Χαλκηδόνος,0,0  0,0,1  0  70,23,0  0  0
Βριλησσίων,0,0  0,0,1  1  380,128,2  1  1
Αγίας Βαρβάρας,14,35  15.657,4.733,20  25  22.224,6.547,53  12  41
Αγίων Αναργύρων,37,101  56.710,16.981,22  20  9.147,2.817,148  19  129
Αιγάλεω,58,151  74.257,22.283,72  75  59.792,12.601,262  73  189
Καματερού,130,247  114.381,34.829,28  39  16.145,4.627,273  24  249
Κορυδαλλού,70,291  128.464,39.047,56  74  26.941,7.894,370  73  297
Νέων Λιοσίων,110,249  128.983,38.474,55  63  33.028,30.247,349  36  313
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Περιστερίου,158,471  250.320,73.623,142  157  103.755,27.845,633  166  467
Πετρουπόλεως,83,260  139.205,42.069,45  55  26.822,8.019,351  33  318
Χαϊδαρίου,74,164  97.241,29.574,45  48  58.403,15.378,237  37  200
Ασπροπύργου,112,179  359.826,74.606,47  42  152.574,40.193,150  20  130
Βιλίων,25,40  12.209,3.703,9  7  2.967,924,36  13  23
Ελευσίνος,71,125  83.573,25.120,49  61  28.137,8.438,160  15  145
Ερυθρών,3,4  1.306,364,5  2  2.152,721,7  2  5
Μάνδρας,43,76  164.472,26.332,29  26  68.928,11.314,72  11  61
Μεγαρέων,114,176  107.752,27.388,55  40  20.044,5.919,181  41  140
Μαγούλας,41,67  256.831,53.557,10  9  57.307,11.389,49  2  47
Νέας Περάμου,28,48  19.635,6.187,14  15  8.066,2.129,60  6  54
Οινόης,3,4  1.678,518,0  0  0,0,4  1  3
¶νω Λιοσίων,223,446  242.814,64.215,52  59  26.602,7.893,463  92  371
Ζεφυρίου,44,78  32.049,10.324,8  8  2.068,642,68  12  56
Φυλής,14,26  8.003,2.576,6  8  5.398,1.521,24  4  20
ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ,1.729,5.961  3.242.696,977.945,1.186  1.490  875.723,275.974,8.007  2.101  5.906
Αγίου ?ημητρίου,110,331  174.733,51.208,78  98  39.554,11.512,486  145  341
Αγίου Ιωάννου Ρέντη,14,35  117.289,30.379,13  23  20.016,6.248,239  19  220
Αλίμου,57,194  121.056,35.312,65  74  42.865,13.288,267  61  206
Αργυρουπόλεως,48,192  103.144,32.230,69  82  39.198,9.166,295  76  219
Βούλας,2,16  7.861,2.440,0  0  0,0,26  14  12
Βουλιαγμένης,4,8  8.571,2.541,2  2  238,77,7  1  6
Γλυφάδας,197,685  387.099,119.880,84  103  50.426,15.287,781  157  624
?ραπετσώνας,13,51  26.179,7.736,21  24  18.621,4.563,114  28  86
Ελληνικού,31,127  84.874,24.982,31  37  25.463,7.888,208  67  141
Καλλιθέας,68,359  237.610,75.511,34  40  29.164,9.302,443  129  314
Κερατσινίου,114,479  184.343,56.548,123  245  54.608,16.222,646  197  449
Μοσχάτου,33,124  68.907,20.610,43  53  69.379,18.584,196  43  153
Νέας Σμύρνης,71,376  248.405,73.003,27  32  20.606,5.979,514  105  409
Νικαίας,194,742  282.994,86.021,112  170  61.679,17.983,847  220  627
Παλαιού Φαλήρου,68,345  199.008,61.684,28  33  13.654,4.722,419  65  354
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Πειραιώς,262,1.115  613.643,185.586,167  199  267.307,98.816,1.422  336  1.086
Περάματος,30,109  56.534,16.598,33  44  16.526,5.026,157  50  107
Βάρης,26,65  39.246,12.542,5  5  6.464,1.818,84  34  50
Αιγίνης,155,225  98.902,29.886,85  79  24.811,7.799,319  165  154
Αγκιστρίου,23,35  12.178,3.750,9  10  3.941,1.284,75  57  18
Μεσαγρού,1,1  123,40,0  0  0,0,1  1  0
Κυθήρων,39,72  32.177,8.873,26  26  9.801,2.959,97  48  49
Σαλαμίνος,83,129  67.999,19.561,64  54  23.912,6.832,170  30  140
Σπετσών,17,36  22.193,6.684,19  13  5.512,1.695,53  9  44
Αιαντείου,3,4  2.071,627,3  1  866,234,6  1  5
Αμπελακίων,24,36  16.706,5.081,15  15  6.008,1.840,47  13  34
Σεληνίων,2,7  2.994,1.005,0  0  0,0,7  1  6
Λουτροπόλεως Μεθάνων,2,2  1.802,442,1  2  300,98,4  1  3
Πόρου,11,19  9.559,2.639,16  16  12.849,3.397,36  17  19
¶νω Φαναρίου,1,2  1.443,481,0  0  0,0,3  0  3
Γαλατά,2,3  2.346,733,0  0  0,0,5  1  4
Τροιζήνος,15,21  5.465,1.718,7  7  9.585,2.881,18  6  12
Ύδρας,9,16  5.242,1.614,6  3  2.370,474,15  4  11
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕ?ΟΝΙΑ &,2.152,4.090  2.988.554,824.825,990  872  613.153,154.181,5.361  1.791  3.570
ΘΡΑΚΗ,,,,,,
ΝΟΜΟΣ ?ΡΑΜΑΣ,380,624  506.625,155.790,151  135  106.403,29.098,654  98  556
?οξάτου,26,38  32.881,8.795,18  20  10.449,2.815,40  3  37
?ράμας,178,365  291.117,102.176,56  58  34.502,10.147,430  54  376
Κάτω Νευροκοπίου,8,10  10.861,3.073,9  9  4.716,1.363,13  5  8
Προσοτσάνης,33,45  62.420,12.399,14  13  4.370,1.268,35  8  27
Αγίου Αθανασίου,10,13  10.577,2.538,2  4  1.223,391,10  6  4
Αδριανής,2,2  6.845,1.529,2  0  8.177,964,1  1  0
Αργυρουπόλεως,5,7  3.158,966,0  0  0,0,4  0  4
Βαθυτόπου,2,2  481,406,0  0  0,0,0  0  0
Βώλακος,2,4  1.560,423,2  1  2.060,510,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Γραμμένης,2,2  340,113,0  0  0,,0,1  0  1
Γρανίτου,3,5  3.109,1.014,1  2  918,,218,9  2  7
Καλαμπακίου,14,15  9.160,2.743,4  2  3.599,,1.033,12  1  11
Καλαμώνος,0,0  0,0,1  0  100,,32,1  1  0
Καλής Βρύσης,3,3  1.810,417,1  1  333,,111,4  0  4
Καλλιθέας,1,2  560,168,2  0  555,,129,1  0  1
Καλλιφύτου,8,11  10.851,3.089,2  1  735,,231,11  0  11
Καλού Αγρού,3,3  1.548,444,2  1  395,,132,3  0  3
Καταφύτου,1,1  1.829,384,0  0  0,,0,0  0  0
Κάτω Βροντούς,1,1  420,140,0  0  0,,0,0  0  0
Κεφαλαρίου,0,0  0,0,1  0  455,,151,0  0  0
Κοκκινογείων,1,1  167,50,2  0  364,,98,2  1  1
Κουδουνίων,4,4  2.230,664,2  2  802,,203,7  1  6
Κυρίων,8,8  2.831,931,6  5  1.083,,332,12  5  7
Μακρυπλαγίου,2,2  511,145,0  0  0,,0,2  1  1
Μαυροβάτου,3,3  1.276,376,0  0  0,,0,2  0  2
Μαυρολεύκης,2,2  1.425,252,2  2  906,,230,2  0  2
Μικροκάμπου,2,2  5.766,1.045,0  0  0,,0,1  0  1
Μικροπόλεως,3,3  918,215,0  0  0,,0,1  1  0
Μικροχωρίου,4,5  2.211,655,1  2  360,,120,6  0  6
Μοναστηρακίου,3,5  1.344,453,0  0  0,,0,2  1  1
Μυλοποτάμου,2,3  1.616,357,2  0  514,,172,2  0  2
Νικηφόρου,3,3  1.075,320,1  0  15.823,,4.941,2  1  1
Ξηροποτάμου,10,16  11.837,2.804,5  5  6.415,,1.749,8  1  7
Οχυρού,2,2  3.784,927,0  0  0,,0,0  0  0
Παρανεστίου,2,2  4.175,951,0  0  0,,0,0  0  0
Πετρούσσης,4,5  2.107,679,3  1  449,,141,4  1  3
Πηγαδίων,2,2  752,190,0  0  0,,0,1  0  1
Πλατανιάς,1,1  456,152,0  0  0,,0,1  0  1
Πύργων,1,1  225,60,1  1  484,,121,2  0  2
Σιταγρών,5,5  2.640,874,2  1  2.172,,268,4  0  4
Φτελιάς,,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",2,2  265,75,0  0  0,,0,1  1  0
Φωτολίβους,5,8  4.339,1.261,1  1  443,,119,7  0  7
Χωριστής,7,10  5.148,1.537,6  3  4.001,,1.109,9  3  6
ΝΟΜΟΣ ΚΑΒΑΛΑΣ,503,905  624.779,184.561,251  205  156.327,,35.084,1.116  369  747
Πλατέος,0,0  0,0,1  0  174,,43,1  1  0
Θάσου,17,26  12.040,3.786,3  3  532,,171,15  1  14
Θεολόγου,6,12  3.880,1.472,5  6  3.555,,1.055,18  11  7
Καλλιράχης,2,2  167,53,2  0  297,,88,2  2  0
Λιμεναρίων,6,10  2.989,998,8  7  1.548,,470,13  4  9
Μαριών,1,1  543,181,0  0  0,,0,3  3  0
Παναγίας,8,12  5.318,1.808,1  1  144,,35,7  2  5
Ποταμιάς,10,14  7.579,2.108,1  0  194,,65,9  0  9
Πρίνου,4,4  4.480,889,4  3  2.174,,513,4  2  2
Ραχωνίου,9,16  11.806,3.759,2  2  553,,156,15  4  11
Σωτήρος,2,3  575,184,0  0  0,,0,1  0  1
Καβάλας,68,210  97.013,36.257,34  40  13.136,,4.168,257  73  184
Αμισιανών,7,11  6.352,1.918,7  5  4.609,,1.138,9  2  7
Αμυγδαλεώνος,19,34  14.890,4.821,10  7  34.161,,4.521,28  5  23
Ζυγού,8,10  8.254,2.065,8  4  2.666,,789,12  3  9
Κοκκινοχώματος,3,5  5.237,1.159,3  2  753,,225,6  1  5
Κορυφών,2,3  850,265,1  1  128,,41,3  2  1
Κρηνίδων,22,39  22.560,6.973,12  13  4.208,,1.311,56  6  50
Κρυονερίου,9,10  6.007,1.565,1  1  195,,65,6  1  5
Λιμνιών,6,11  4.150,1.394,1  1  350,,140,6  0  6
Λυδίας,1,1  716,238,1  1  748,,234,4  0  4
Νέας Καρβάλης,6,9  43.166,5.962,14  15  6.895,,1.932,21  2  19
Παλαιάς Καβάλας,2,2  880,276,1  1  357,,125,2  0  2
Πολυστύλου,11,15  12.976,2.832,1  1  386,,120,8  0  8
Φιλίππων,8,12  4.902,1.471,2  0  553,,166,10  2  8
Χαλκερού,3,4  1.757,642,2  0  6.130,,962,1  0  1
Χρυσουπόλεως,39,61  44.590,12.887,21  15  5.056,,1.574,54  11  43
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αβραμυλιάς,1,2  360,120,1  2  829,227,3  0  3
Αγιάσματος,4,6  2.098,679,2  1  472,159,6  1  5
Αγίου Κοσμά,1,1  170,55,0  0  0,0,1  1  0
Γέροντα,3,3  2.181,696,5  5  2.345,615,7  0  7
Γραβούνης,0,0  0,0,2  1  1.409,428,2  1  1
?ιαλεκτού,2,3  2.220,749,0  0  0,0,1  0  1
?ιποτάμου,2,2  5.412,984,0  0  0,0,0  0  0
Ερατεινού,6,10  7.450,1.877,1  1  520,172,5  1  4
Ζαρκαδιάς,3,6  2.589,905,0  0  0,0,5  0  5
Κεραμωτής,16,23  16.021,4.454,8  4  1.855,606,24  5  19
Κεχροκάμπου,7,8  12.189,2.987,1  0  2.321,422,5  0  5
Λεκάνης,1,1  150,50,0  0  0,0,1  1  0
Μακρυχωρίου,2,3  3.706,997,0  0  0,0,2  0  2
Νέας Καρυάς,2,2  319,105,3  2  945,254,3  1  2
Ξεριά,1,1  308,107,3  0  246,80,3  2  1
Πέρνης,6,7  57.967,12.761,5  2  1.605,527,8  3  5
Πετροπηγής,2,3  9.928,2.279,2  0  4.474,1.353,1  0  1
Πηγών,0,0  0,0,1  0  1.837,209,0  0  0
Ποντολιβάδου,2,4  10.725,2.605,2  0  23.772,2.573,1  0  1
Χρυσοχωρίου,3,4  12.571,1.974,5  2  2.201,605,4  2  2
