Ελευθερουπόλεως,13,25  14.694,4.554,16  13  5.907,1.880,33  7  26
Αγίου Ανδρέου,1,1  408,120,2  1  708,212,3  1  2
Ακροποτάμου,0,0  0,0,1  0  140,52,0  0  0
Αντιφιλίππων,2,2  2.597,540,0  0  0,0,1  0  1
Αυλής,2,3  793,235,0  0  0,0,2  1  1
Γαληψού,1,2  1.539,449,0  0  0,0,1  0  1
Γεωργιανής,4,5  2.185,710,2  0  640,192,4  1  3
?ωματίων,1,1  726,140,0  0  0,0,0  0  0
Ελαιοχωρίου,6,7  2.013,522,5  5  1.924,558,9  3  6
Ελευθερών,5,6  2.609,850,1  0  260,72,7  3  4
Καριανής,18,21  3.998,1.163,1  1  318,97,17  12  5
Κηπίων,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",1,1  7.950,1.000,0  0  0,,0,0  0  0
Μελισσοκομείου,1,1  521,127,2  1  526,,156,2  1  1
Μεσορόπης,3,4  3.160,1.072,2  2  489,,148,4  1  3
Μουσθένης,1,1  332,104,0  0  0,,0,1  0  1
Μυρτοφύτου,2,3  759,258,0  0  0,,0,3  2  1
Νέας Ηρακλίτσης,13,26  16.369,5.564,0  0  0,,0,51  11  40
Νέας Περάμου,13,27  28.164,9.709,4  3  2.565,,706,72  19  53
Νικήσιανης,10,16  6.908,2.158,9  9  2.577,,755,16  6  10
Ορφανίου,6,8  4.087,1.346,1  0  857,,190,24  21  3
Οφρυνίου,45,95  48.022,21.318,15  17  4.225,,1.444,193  118  75
Παλαιοχωρίου,4,5  1.980,651,1  1  45,,15,6  4  2
Πλατανοτόπου,1,1  522,163,1  1  250,,83,1  0  1
Ποδοχωρίου,3,4  2.201,730,0  0  0,,0,6  0  6
Σιδηροχωρίου,0,0  0,0,1  2  563,,187,1  0  1
Φωλέας,3,12  1.815,611,0  0  0,,0,5  1  4
Χρυσοκάστρου,1,2  386,120,0  0  0,,0,1  1  0
ΝΟΜΟΣ ΕΒΡΟΥ,483,1.044  742.490,204.614,261  292  199.647,,48.495,1.660  721  939
Αλεξανδρουπόλεως,196,551  373.431,103.838,66  103  63.375,,17.570,872  407  465
Φερών,11,16  7.681,2.165,10  10  4.640,,1.358,23  4  19
Ανθείας,45,117  90.523,27.956,11  12  4.485,,1.524,167  73  94
?ωρικού,1,1  1.874,545,4  2  2.537,,526,5  0  5
Λουτρού,9,12  17.261,3.709,1  1  176,,56,3  0  3
Μάκρης,11,18  8.408,2.610,3  3  634,,195,21  8  13
?ιδυμοτείχου,44,70  47.456,13.643,37  27  24.115,,5.087,96  36  60
Βρυσικών,1,1  60,18,0  0  0,,0,0  0  0
Ελληνοχωρίου,0,0  0,0,3  2  235,,85,1  1  0
Θουρίου,1,1  144,50,0  0  0,,0,0  0  0
Λαβάρων,2,2  679,163,5  4  2.008,,594,5  4  1
Μαυροκκλησίου,0,0  0,0,1  1  292,,93,1  0  1
Μεταξάδων,3,3  2.453,790,3  4  2.363,,801,3  0  3
Πρωτοκκλησίου,2,3  1.780,510,0  0  0,,0,1  0  1
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
Πυθίου,1,1  370,132,0  0  0,,0,1  0  1
Ορεστιάδος,106,188  140.322,39.198,87  97  41.623,,12.325,389  147  242
Βάλτου,1,1  149,50,0  0  0,,0,1  1  0
?ικαίων,4,5  7.547,1.094,2  3  710,,219,7  6  1
Καβύλης,1,2  920,300,1  0  920,,300,6  6  0
Καστανεών,1,1  285,95,0  0  0,,0,1  0  1
Κυπρίνου,3,3  670,208,1  2  831,,148,3  1  2
Νέας Βύσσης,6,7  18.773,1.797,4  1  904,,307,5  2  3
Νεοχωρίου,1,1  14,4,0  0  0,,0,0  0  0
Πενταλόφου,1,2  752,200,0  0  0,,0,0  0  0
Πτελέας,1,1  360,120,0  0  0,,0,1  0  1
Ριζίων,1,1  360,120,3  1  42.918,,5.293,2  1  1
Φυλακίου,2,2  1.609,491,0  0  0,,0,0  0  0
Σαμοθράκης,11,13  5.714,1.596,1  1  215,,21,15  11  4
Σουφλίου,8,11  5.405,1.313,10  10  3.924,,1.207,16  2  14
Τυχερού,8,9  7.190,1.839,5  5  1.529,,449,15  11  4
Λαγυνών,0,0  0,0,2  1  916,,245,0  0  0
Πέπλου,1,1  300,60,1  2  297,,92,0  0  0
ΝΟΜΟΣ ΞΑΝΘΗΣ,417,793  576.049,143.922,53  40  19.754,,6.226,700  117  583
Ιθάκης,1,1  140,91,0  0  0,,0,0  0  0
Ξάνθης,170,415  283.807,79.150,35  26  15.041,,4.763,456  107  349
Σταυρουπόλεως,4,4  3.712,843,0  0  0,,0,1  0  1
Αβάτου,2,2  6.174,1.573,0  0  0,,0,1  0  1
Αβδήρων,5,13  2.322,650,0  0  0,,0,7  0  7
Γαλάνης,2,2  321,103,0  0  0,,0,1  0  1
Γενισέας,12,14  14.656,4.386,0  0  0,,0,7  0  7
Γέρακα,2,2  440,129,0  0  0,,0,0  0  0
?ιομηδείας,29,35  37.211,10.084,3  2  690,,230,30  1  29
Εξοχής,2,2  1.670,465,0  0  0,,0,0  0  0
Ερασμίου,2,2  2.281,374,2  1  480,,160,2  0  2
Ευλάλου,17,18  7.342,2.041,1  0  150,,50,15  1  14
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ευμοίρου,25,90  43.382,7.951,2  3  912,304,21  1  20
Εχίνου,9,14  3.830,1.227,1  1  71,20,13  1  12
Θερμών,3,3  750,209,0  0  0,0,1  0  1
Καρυοφύτου,1,2  588,160,0  0  0,0,2  0  2
Κιμμερίων,22,30  9.911,2.939,1  1  284,94,27  0  27
Κοτύλης,8,11  2.692,728,1  1  180,60,9  2  7
Κουτσού,1,1  644,161,0  0  0,0,0  0  0
Μαγγάνων,4,4  6.502,1.895,0  0  0,0,0  0  0
