"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Σύνολο Ελλάδος,37.047,70.859  47.463.446,13.725.235,18.419  16.765  10.806.119,2.833.717,89.612  23.102  66.510
ΑΤΤΙΚΗ,6.079,17.157  11.772.434,4.076.364,4.093  4.927  2.847.559,789.634,24.895  4.636  20.259
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ,730,3.274  2.312.576,1.433.320,561  719  364.615,107.003,5.291  1.152  4.139
Αθηναίων,372,1.778  1.252.528,1.139.009,240  342  197.495,57.580,2.802  605  2.197
Βύρωνος,71,308  177.901,53.724,39  53  18.407,5.757,495  119  376
Γαλατσίου,64,271  172.693,50.315,39  53  27.098,8.521,487  80  407
?άφνης,21,65  33.773,9.687,34  31  20.178,5.278,110  36  74
Ζωγράφου,42,281  130.020,41.624,22  20  10.301,2.956,388  99  289
Ηλιουπόλεως,80,268  125.901,35.390,117  143  64.735,19.030,444  84  360
Καισαριανής,31,141  81.321,25.437,9  18  4.154,1.322,238  74  164
Νέας Φιλαδελφείας,23,78  70.381,18.565,28  30  11.056,3.342,192  37  155
Νέας Χαλκηδόνος,8,26  237.067,50.228,9  7  3.351,1.033,56  2  54
Ταύρου,10,39  24.526,7.412,6  3  3.068,750,45  3  42
Υμηττού,8,19  6.465,1.929,18  19  4.772,1.434,34  13  21
ΝΟΜΑΡΧΙΑ ΑΝΑΤΟΛΙΚΗΣ,2.687,6.170  4.750.606,1.308.288,1.261  1.447  988.962,264.368,8.385  1.359  7.026
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Παρασκευής,97,348  249.585,74.633,64  75  34.446,10.477,623  69  554
Αμαρουσίου,111,333  505.885,120.878,53  51  40.420,12.805,557  84  473
Βριλησσίων,77,229  171.096,54.122,26  35  17.690,4.990,342  28  314
Ηρακλείου,54,174  129.612,36.772,36  42  18.162,5.336,340  68  272
Κηφισιάς,111,261  259.007,70.791,65  60  40.144,12.717,375  38  337
Μελισσίων,47,153  209.538,42.293,24  32  23.937,7.299,307  34  273
Μεταμορφώσεως,72,210  185.860,52.715,54  71  43.718,12.000,317  52  265
Νέας Ερυθραίας,49,140  105.691,30.326,17  25  46.815,7.614,201  27  174
Νέας Ιωνίας,60,263  139.577,38.959,52  70  48.867,13.345,432  113  319
Νέου Ψυχικού,13,55  46.624,16.340,10  11  7.633,2.028,59  7  52
Παπάγου,6,21  10.292,2.983,25  47  16.261,4.876,64  8  56
Πεύκης,17,51  73.126,22.105,12  12  5.857,1.881,146  7  139
Φιλοθέης,13,34  29.514,8.768,8  10  5.716,1.817,49  6  43
Χαλανδρίου,144,459  347.366,110.767,63  96  35.795,10.419,713  117  596
Χολαργού,15,60  57.975,16.380,15  21  25.427,6.917,149  18  131
Ψυχικού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",19,40  38.186,10.433,21  20  16.926,4.740,83  4  79
Γέρακα,167,368  195.265,55.100,36  40  20.750,5.963,355  41  314
Εκάλης,10,20  21.944,6.444,2  2  1.470,394,23  1  22
Λυκοβρύσεως,20,56  34.770,10.833,14  21  6.455,1.845,79  14  65
Νέας Πεντέλης,21,49  26.623,7.830,11  15  6.095,1.833,48  5  43
Πεντέλης,12,29  16.050,4.421,3  2  783,265,25  4  21
Αυλώνος,11,15  86.504,11.298,7  6  3.454,1.059,14  4  10
Αχαρνών,195,385  238.987,62.934,99  118  77.273,18.557,435  80  355
Κερατέας,46,77  44.111,9.977,21  21  9.842,3.014,80  24  56
Κρωπίας,98,155  160.592,41.913,55  44  109.731,22.715,126  19  107
Λαυρεωτικής,21,34  52.865,14.170,10  8  8.585,2.571,86  72  14
Μαραθώνος,43,59  33.763,11.297,12  12  8.332,2.184,62  12  50
Μαρκοπούλου Μεσογαίας,154,284  149.137,46.528,56  64  30.407,8.844,321  79  242
Νέας Μάκρης,80,160  73.592,19.593,37  49  16.789,4.446,163  21  142
Παιανίας,26,55  122.450,18.331,32  29  40.222,9.533,72  9  63
Παλλήνης,90,182  118.460,32.688,37  36  27.992,7.344,227  25  202
Σπάτων-Λούτσας,25,41  24.601,7.387,11  13  7.513,2.291,48  9  39
Αγίου Κωνσταντίνου,6,10  4.096,1.385,1  2  679,174,8  1  7
Αγίου Στεφάνου,32,61  40.598,13.601,13  15  14.355,4.600,63  5  58
Αναβύσσου,17,31  13.094,4.287,7  3  6.091,1.781,35  5  30
Ανθούσης,2,2  1.281,350,0  0  0,0,3  0  3
Ανοίξεως,33,61  44.380,13.200,9  8  3.862,1.203,65  2  63
Αρτέμιδος (Λούτσας),152,243  73.199,22.183,74  71  34.756,9.991,256  76  180
Αφιδνών,19,36  24.483,7.062,2  2  821,235,25  5  20
Βαρνάβα,4,8  4.114,1.195,3  3  2.412,754,11  0  11
Γλυκών Νερών,54,118  50.775,15.110,11  19  7.296,2.230,112  11  101
Γραμματικού,3,4  952,249,3  2  518,161,4  2  2
?ιονύσου,40,82  58.095,17.061,5  6  3.454,991,68  4  64
?ροσιάς,23,53  75.252,22.605,5  5  3.141,926,93  9  84
Θρακομακεδόνων,18,38  30.018,8.934,5  4  2.465,673,42  4  38
Καλάμου,10,13  7.432,2.040,1  1  114,38,13  3  10
Καλυβίων Θορικού,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",82,140  69.177,21.002,63  65  29.381,9.090,167  40  127
Καπανδριτίου,15,27  13.418,3.991,2  0  966,280,21  0  21
Κουβαρά,9,12  5.785,1.958,3  3  1.327,384,8  1  7
Κρυονερίου,27,48  32.352,9.145,7  11  25.506,5.214,47  3  44
Μαλακάσης,1,2  1.038,264,1  1  347,115,3  0  3
Μαρκοπούλου Ωρωπού,8,11  6.198,1.783,2  2  706,200,13  2  11
Νέων Παλατίων,11,14  9.732,3.135,5  4  1.831,616,15  2  13
Παλαιάς Φωκαίας,10,18  10.468,3.402,7  8  2.800,868,37  16  21
Πικερμίου,65,120  84.902,23.275,15  20  20.567,5.267,100  7  93
Πολυδενδρίου,12,20  13.963,3.989,5  5  5.615,1.781,16  1  15
Ραφήνας,40,79  44.014,12.716,11  16  8.835,2.460,94  28  66
Ροδοπόλεως (Μπάλας),7,13  9.636,2.939,0  0  0,0,10  0  10
Σαρωνίδος,21,44  30.151,11.032,3  1  1.236,344,64  28  36
Σκάλας Ωρωπού,8,10  4.239,1.294,2  2  1.035,315,12  2  10
Σταμάτας,8,15  7.389,2.210,3  2  2.905,786,17  0  17
Συκαμίνου,3,4  3.062,803,1  1  348,116,4  0  4
Ωρωπού,23,33  18.665,6.079,4  7  2.086,656,38  3  35
ΝΟΜΑΡΧΙΑ ?ΥΤΙΚΗΣ,1.135,2.639  1.815.219,471.017,977  1.136  743.438,200.147,3.675  603  3.072
ΑΤΤΙΚΗΣ,,,,,,
Αγίας Βαρβάρας,16,35  15.204,4.724,22  27  8.675,2.558,52  8  44
Αγίων Αναργύρων,49,142  103.163,30.288,30  43  13.318,3.949,272  35  237
Αιγάλεω,53,151  80.727,22.898,99  107  44.829,13.296,318  86  232
Καματερού,129,252  108.729,33.227,42  49  19.291,5.880,275  45  230
Κορυδαλλού,36,127  61.241,17.165,65  95  36.765,10.642,218  37  181
Νέων Λιοσίων,19,55  23.351,6.573,24  30  13.288,3.873,80  13  67
Περιστερίου,157,472  248.064,76.861,218  247  112.941,33.232,661  131  530
Πετρουπόλεως,46,142  67.217,20.643,62  81  29.200,8.651,226  23  203
Χαϊδαρίου,75,188  117.332,34.335,52  61  27.060,7.955,279  40  239
Ασπροπύργου,48,73  343.381,52.225,40  32  118.984,24.159,56  7  49
Βιλίων,18,29  14.292,4.301,12  9  3.180,916,34  14  20
Ελευσίνος,50,104  74.613,24.265,41  40  23.233,7.496,148  20  128
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ερυθρών,3,6  2.621,850,7  7  2.624,778,9  3  6
Μάνδρας,29,48  113.334,18.229,26  28  161.587,39.781,43  7  36
Μεγαρέων,87,126  69.128,18.560,60  58  31.854,9.217,166  45  121
Μαγούλας,30,56  49.389,11.077,17  17  19.762,4.776,51  4  47
Νέας Περάμου,11,17  11.910,3.368,10  11  5.511,1.347,20  1  19
Οινόης,3,5  3.097,1.011,1  1  519,173,9  2  7
¶νω Λιοσίων,236,539  266.755,78.729,122  160  54.623,16.686,669  74  595
Ζεφυρίου,28,51  30.338,7.526,14  18  7.977,2.309,56  4  52
Φυλής,12,21  11.333,4.162,13  15  8.217,2.473,33  4  29
ΝΟΜΑΡΧΙΑ ΠΕΙΡΑΙΩΣ,1.527,5.074  2.894.033,863.739,1.294  1.625  750.544,218.116,7.544  1.522  6.022
Αγίου ?ημητρίου,118,366  190.939,54.076,101  137  53.622,15.913,541  108  433
Αγίου Ιωάννου Ρέντη,1,4  617,192,9  8  9.669,1.847,4  1  3
Αλίμου,117,382  231.964,64.342,64  78  43.624,12.742,496  89  407
Αργυρουπόλεως,48,141  114.755,31.292,75  103  36.252,10.858,315  64  251
Βούλας,3,14  9.912,3.129,7  12  6.462,1.755,34  6  28
Βουλιαγμένης,4,9  10.279,3.369,1  2  744,186,17  0  17
Γλυφάδας,255,825  515.585,158.324,122  159  81.440,24.512,1.125  127  998
?ραπετσώνας,8,25  11.172,3.332,8  11  4.488,1.360,43  10  33
Ελληνικού,42,166  102.314,31.180,20  26  52.210,10.528,254  61  193
Καλλιθέας,59,285  182.117,50.356,46  53  41.949,11.114,395  89  306
Κερατσινίου,70,315  136.094,39.665,180  230  80.152,24.824,591  137  454
Μοσχάτου,32,131  75.355,22.372,41  59  25.439,8.093,211  37  174
Νέας Σμύρνης,100,487  305.531,92.009,39  59  36.634,10.944,730  130  600
Νικαίας,123,490  187.793,58.196,135  197  61.629,18.260,606  149  457
Παλαιού Φαλήρου,62,261  196.054,56.323,57  67  43.106,13.013,503  77  426
Πειραιώς,150,579  309.459,99.827,132  170  62.388,19.910,824  152  672
Περάματος,18,42  26.372,6.450,30  44  16.334,5.033,78  17  61
Βάρης,55,128  87.214,27.531,14  12  12.293,3.544,172  29  143
Αιγίνης,61,86  47.489,11.981,46  43  15.045,3.945,123  49  74
Αγκιστρίου,11,18  6.971,1.951,9  6  2.447,754,24  12  12
Βαθέος,13,18  6.555,2.014,10  10  4.067,1.226,25  6  19
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κυψέλης,6,10  5.495,1.381,8  7  1.933,503,12  5  7
Μεσαγρού,8,12  3.886,1.322,11  9  1.952,608,14  5  9
Πέρδικας,5,9  2.506,807,5  7  4.731,1.304,23  13  10
Καραβά,0,0  0,0,2  0  45,14,0  0  0
Καρβουνάδων,2,4  1.253,376,0  0  0,0,5  2  3
Κοντολιανίκων,4,4  2.019,578,1  1  611,204,5  0  5
Κυθήρων,14,24  9.549,2.821,13  6  7.562,2.286,40  23  17
Λιβαδίου,2,4  1.367,454,0  0  0,0,8  7  1
Μητάτων,1,2  756,216,0  0  0,0,2  0  2
Μυρτιδίων,1,1  458,150,1  1  187,60,1  0  1
Ποταμού,1,2  565,142,6  7  1.330,421,6  2  4
Φριλιγκιανίκων,0,0  0,0,2  3  805,236,2  1  1
Σαλαμίνος,53,103  62.391,17.941,41  50  17.119,4.879,135  29  106
Σπετσών,13,18  4.225,6.377,12  7  3.097,937,24  17  7
Αιαντείου,22,32  13.730,4.022,13  12  7.892,2.353,43  12  31
Αμπελακίων,2,4  2.424,561,0  0  0,0,1  0  1
Σεληνίων,11,15  7.370,2.054,10  6  2.120,652,25  11  14
Λουτροπόλεως Μεθάνων,4,8  4.290,1.224,2  3  1.033,301,13  9  4
Πόρου,12,21  7.821,2.435,9  8  5.108,1.478,41  23  18
Γαλατά,3,7  2.760,922,1  2  333,108,8  2  6
?ρυόπης,2,2  952,332,3  5  827,277,7  3  4
Καρατζά,0,0  0,0,1  0  150,45,1  0  1
Τακτικουπόλεως,2,3  777,232,0  0  0,0,4  3  1
Τροιζήνος,5,9  3.034,896,4  1  2.046,587,4  2  2
Ύδρας,4,8  1.864,585,3  4  1.669,502,9  3  6
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕ?ΟΝΙΑ &,2.203,3.970  3.876.341,881.352,1.136  876  749.885,169.767,5.088  1.408  3.680
ΘΡΑΚΗ,,,,,,
ΝΟΜΟΣ ?ΡΑΜΑΣ,411,714  455.161,126.163,216  166  109.491,32.368,779  142  637
?οξάτου,17,25  20.703,4.298,14  10  6.231,1.726,25  5  20
?ράμας,141,376  231.967,69.848,80  75  32.798,10.406,507  101  406
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Κάτω Νευροκοπίου,5,5  2.957,809,2  2  852,260,3  0  3
Προσοτσάνης,19,26  21.574,4.765,17  11  8.706,3.063,19  3  16
Αγίας Παρασκευής,1,1  1.582,340,0  0  0,0,0  0  0
Αγίου Αθανασίου,15,16  12.044,2.917,9  4  3.486,1.103,13  2  11
Αδριανής,1,1  243,81,3  2  482,157,2  0  2
Ανθοχωρίου,2,2  654,208,0  0  0,0,2  0  2
¶νω Πυξαρίου,0,0  0,0,1  1  749,214,1  0  1
Αργυρουπόλεως,8,10  3.479,966,2  3  484,173,8  1  7
Αχλαδέας,1,1  167,96,0  0  0,0,0  0  0
Βώλακος,4,5  11.818,2.207,1  0  76,24,2  0  2
Γραμμένης,1,1  963,314,2  3  794,260,3  0  3
Γρανίτου,1,1  262,75,1  0  8.400,2.100,1  0  1
Εξοχής,1,1  2.632,585,0  0  0,0,0  0  0
Καλαμπακίου,19,30  24.062,6.666,7  7  4.054,1.550,29  3  26
Καλαμώνος,2,2  3.525,700,1  1  300,99,1  0  1
Καλής Βρύσης,0,0  0,0,4  4  1.839,508,5  1  4
Καλλιθέας,2,2  953,288,0  0  0,0,2  1  1
Καλλιφύτου,16,23  9.133,3.011,3  1  5.703,1.106,16  3  13
Καλού Αγρού,3,3  2.205,681,3  3  811,239,4  0  4
Κάτω Βροντούς,5,6  3.746,982,0  0  0,0,3  0  3
Κεφαλαρίου,5,7  1.723,518,1  0  219,76,3  1  2
Κοκκινογείων,2,2  426,181,3  3  917,281,5  1  4
Κουδουνίων,7,8  3.273,910,2  2  682,255,5  0  5
Κυρίων,14,16  9.486,2.949,7  3  1.249,433,17  3  14
Λιβαδερού,1,2  185,67,0  0  0,0,1  1  0
Μαυροβάτου,5,6  2.098,728,5  4  2.245,716,10  0  10
Μαυρολεύκης,4,4  3.127,620,2  0  260,68,5  1  4
Μικροπόλεως,3,4  1.048,272,3  3  1.727,566,5  1  4
Μικροχωρίου,11,13  7.125,2.025,1  1  414,110,11  0  11
Μοναστηρακίου,4,4  1.199,369,1  0  295,107,3  0  3
Μυλοποτάμου,6,8  8.355,2.048,3  2  1.503,500,7  0  7
Νεροφράκτου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,,
Νομός,,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,,?ωμάτια  ?ωμάτια
"",2,3  1.500,437,0  0  0,,0,1  0  1
Νικηφόρου,3,4  511,149,0  0  0,,0,1  0  1
Ξηροποτάμου,15,18  15.953,3.581,5  3  9.253,,2.026,14  4  10
Οχυρού,5,7  6.654,1.587,2  0  173,,50,3  1  2
Πανοράματος,1,1  509,96,0  0  0,,0,0  0  0
Παρανεστίου,2,2  4.800,1.000,0  0  0,,0,0  0  0
Περιθωρίου,3,4  7.450,1.615,0  0  0,,0,0  0  0
Περιχώρας,0,0  0,0,2  1  617,,164,1  1  0
Πετρούσσης,23,26  8.274,2.575,4  2  2.941,,675,8  2  6
Πλατανιάς,3,3  703,202,0  0  0,,0,2  0  2
Πλατανόβρυσης,0,0  0,0,1  0  58,,17,1  1  0
Ποταμών,2,2  3.000,1.000,0  0  0,,0,0  0  0
Πτελέας Πλατανιάς,0,0  0,0,2  2  497,,172,1  0  1
Πύργων,2,3  853,244,0  0  0,,0,2  1  1
Σιταγρών,4,4  796,244,2  2  1.196,,328,2  0  2
Υψηλής Ράχης,1,1  288,72,0  0  0,,0,0  0  0
Φτελιάς,3,4  767,217,5  2  740,,254,3  1  2
Φωτολίβους,8,10  3.138,874,5  5  1.661,,516,10  2  8
Χωριστής,8,11  7.251,1.746,10  4  7.079,,2.066,12  1  11
ΝΟΜΟΣ ΚΑΒΑΛΑΣ,596,995  480.234,146.979,303  205  151.100,,35.479,1.182  439  743
Θάσου,21,42  15.961,4.964,8  7  1.777,,527,50  29  21
Θεολόγου,13,20  6.690,2.188,5  3  923,,311,30  17  13
Καλλιράχης,3,5  1.673,1.342,2  1  341,,122,3  0  3
Λιμεναρίων,16,26  13.401,3.500,7  6  1.979,,661,22  6  16
Μαριών,1,2  769,257,9  10  2.296,,730,11  4  7
Παναγίας,12,24  6.318,2.071,3  2  813,,289,16  8  8
Ποταμιάς,18,30  9.413,2.928,9  6  1.740,,568,33  17  16
Πρίνου,4,7  1.635,566,1  0  87,,27,5  1  4
Ραχωνίου,7,11  6.203,1.820,1  0  550,,128,6  3  3
Σωτήρος,3,6  3.583,1.158,3  1  718,,239,25  22  3
Καβάλας,76,184  97.639,31.658,39  33  8.743,,2.925,245  47  198
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Αμισιανών,5,7  8.954,2.122,1  0  464,112,1  0  1
Αμυγδαλεώνος,18,28  14.422,4.626,14  12  13.099,3.256,32  8  24
Ζυγού,10,15  13.037,2.477,7  3  962,316,12  4  8
Κοκκινοχώματος,9,14  11.464,3.510,6  5  2.097,646,10  3  7
Κορυφών,1,1  469,154,0  0  0,0,1  0  1
Κρηνίδων,8,12  8.923,2.861,24  15  17.364,3.593,30  10  20
Κρυονερίου,10,14  4.095,1.473,4  2  190,63,13  7  6
Λιμνιών,1,1  180,60,0  0  0,0,1  0  1
Λυδίας,2,3  1.501,373,0  0  0,0,1  0  1
Νέας Καρβάλης,25,39  27.439,6.083,9  3  2.745,707,29  8  21
Πολυστύλου,5,6  2.558,821,7  2  769,265,8  5  3
Φιλίππων,11,15  4.648,1.441,6  4  1.678,555,12  1  11
Χαλκερού,4,4  989,332,3  1  1.824,472,4  2  2
Χρυσουπόλεως,29,48  24.852,8.031,12  13  4.695,1.500,55  7  48
Αγιάσματος,3,3  1.767,597,4  2  1.493,643,5  2  3
Γέροντα,2,2  547,174,1  0  82,32,2  0  2
Γραβούνης,7,8  6.278,1.765,0  0  0,0,3  0  3
?ιαλεκτού,1,2  390,130,0  0  0,0,1  1  0
?ιποτάμου,1,1  228,76,0  0  0,0,1  0  1
Ζαρκαδιάς,2,3  607,187,3  1  1.096,353,3  1  2
Κεραμωτής,16,23  8.969,3.027,5  1  967,315,22  5  17
Κεχροκάμπου,4,4  1.344,454,0  0  0,0,3  0  3
