Λεκάνης,1,2  240,82,0  0  0,0,1  0  1
Μακρυχωρίου,1,1  199,57,0  0  0,0,1  1  0
Νέας Καρυάς,2,4  980,334,3  2  810,231,4  1  3
Παραδείσου,1,1  654,238,0  0  0,0,2  2  0
Πέρνης,2,2  533,171,4  2  38.853,6.020,2  0  2
Πετροπηγής,3,3  1.369,459,2  0  3.062,418,4  1  3
Πηγών,3,3  1.609,516,1  0  3.953,807,3  1  2
Πλαταμώνος,1,2  867,289,0  0  0,0,3  0  3
Ποντολιβάδου,8,8  23.711,5.471,4  1  10.704,1.304,3  2  1
Χρυσοχωρίου,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",4,7  1.321,447,5  1  1.114,329,7  2  5
Ελευθερουπόλεως,19,31  12.255,3.858,13  9  2.425,825,34  8  26
Αγίου Ανδρέου,3,4  1.206,408,1  0  51,17,3  1  2
Ακροποτάμου,1,1  138,46,0  0  0,0,1  1  0
Αντιφιλίππων,1,1  565,146,2  1  624,202,3  2  1
Αυλής,1,1  394,119,5  4  1.558,470,7  4  3
Γαληψού,2,2  617,189,2  2  1.315,386,4  1  3
Γεωργιανής,2,3  1.699,432,8  3  1.482,502,6  3  3
?ωματίων,2,2  856,299,2  2  389,129,4  1  3
Ελαιοχωρίου,2,3  1.087,386,3  1  540,187,5  1  4
Ελευθερών,6,10  4.302,1.308,4  5  901,295,13  3  10
Καριανής,23,26  11.308,3.470,1  0  132,38,33  30  3
Κηπίων,1,1  438,146,1  0  29,10,1  0  1
Μεσιάς,0,0  0,0,2  1  409,135,2  1  1
Μεσορόπης,0,0  0,0,1  0  220,82,1  1  0
Μουσθένης,2,4  1.391,398,0  0  0,0,2  1  1
Μυρτοφύτου,0,0  0,0,1  0  58,18,1  1  0
Νέας Ηρακλίτσης,44,82  30.392,10.258,5  5  1.771,580,92  23  69
Νέας Περάμου,28,49  20.650,7.319,4  3  983,359,67  40  27
Νικήσιανης,17,25  12.788,3.675,11  8  2.547,846,23  6  17
Ορφανίου,19,22  7.156,2.090,1  1  250,81,21  17  4
Οφρυνίου,34,63  28.765,9.269,17  16  6.181,1.435,115  61  54
Παλαιοχωρίου,5,10  3.086,1.015,2  1  206,75,9  1  8
Πλατανοτόπου,2,3  696,218,1  1  143,48,4  3  1
Ποδοχωρίου,3,3  454,128,0  0  0,0,1  1  0
Φωλέας,3,3  474,170,4  3  898,295,3  0  3
Χρυσοκάστρου,2,3  1.088,342,0  0  0,0,2  0  2
ΝΟΜΟΣ ΕΒΡΟΥ,420,867  1.165.884,252.289,239  216  164.774,38.557,1.086  368  718
Αλεξανδρουπόλεως,179,530  369.048,107.575,63  54  32.636,8.214,747  277  470
Φερών,13,15  16.277,4.814,12  10  4.573,1.365,19  4  15
¶βαντος,12,23  289.045,38.424,1  0  3.356,708,11  0  11
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
Ανθείας,8,9  62.590,7.462,4  2  6.960,1.349,3  0  3
?ωρικού,1,1  235,78,0  0  0,0,1  0  1
Λουτρού,2,4  1.538,538,2  1  258,86,3  0  3
Μάκρης,17,18  10.717,3.303,5  2  4.191,1.329,24  8  16
Συκορράχης,1,1  210,70,0  0  0,0,1  0  1
?ιδυμοτείχου,37,61  88.116,21.157,28  35  11.506,3.854,69  22  47
Αμορίου,1,1  497,177,0  0  0,0,1  0  1
Ασημένιου,3,3  15.624,5.368,2  1  502,162,2  0  2
Ασπρονερίου,1,1  1.300,230,0  0  0,0,0  0  0
Ελαφοχωρίου,1,1  315,105,3  3  537,173,2  0  2
Ελληνοχωρίου,1,1  2.145,715,2  2  680,189,1  1  0
Θουρίου,3,4  1.750,455,5  2  835,270,4  1  3
Ισαακίου,0,0  0,0,2  1  305,94,1  0  1
Κουφοβούνου,0,0  0,0,1  1  184,58,1  1  0
Μάνδρας,1,1  3.003,1.001,0  0  0,0,0  0  0
Μεταξάδων,2,2  840,256,1  1  400,12,2  1  1
Μικρού ?ερείου,3,3  1.146,340,2  1  360,120,2  1  1
Πετράδων,1,1  254,85,0  0  0,0,0  0  0
Πρωτοκκλησίου,2,3  810,272,1  1  289,96,2  0  2
Πυθίου,1,1  69,21,0  0  0,0,0  0  0
Σιτοχωρίου,2,3  2.622,636,2  3  603,199,4  1  3
Ορεστιάδος,56,92  119.401,26.795,72  71  45.041,11.625,123  30  93
¶ρζου,1,2  1.407,322,0  0  0,0,0  0  0
?ικαίων,3,3  3.889,702,1  0  51,12,1  0  1
Ελαίας,1,1  1.920,320,0  0  0,0,0  0  0
Ζώνης,1,1  384,96,0  0  0,0,0  0  0
Καβύλης,2,2  1.078,216,0  0  0,0,0  0  0
Καστανεών,1,1  601,104,4  3  926,308,3  1  2
Κομάρων,2,2  25.168,5.218,0  0  0,0,0  0  0
Κυπρίνου,2,2  1.276,330,2  1  740,235,3  2  1
Μαρασίων,2,2  409,133,0  0  0,0,0  0  0
Μεγάλης ?οξιπάρας,,,,,,
"",,Νέες Οικοδομές,,Προσθήκες,,Αριθμός κατοικιών
Υ.Π.Α,,,,,,
Νομός,,,,,,Με 1 Με 3
?ήμος ή Κοινότητα,Αριθμός,Οροφοι Ογκος,Επιφάνεια,Αριθμός Οροφοι Ογκος,Επιφάνεια,Σύνολο ή 2 και άνω
"",,,,,,?ωμάτια  ?ωμάτια
"",0,0  0,0,1  0  1.650,300,0  0  0
Νέας Βύσσης,8,9  11.962,2.976,5  4  11.775,2.028,5  2  3
Νέου Χειμωνίου,0,0  0,0,1  0  1.622,312,0  0  0
Νεοχωρίου,2,3  61.207,7.912,1  2  150,54,2  0  2
Ορμενίου,2,2  3.963,813,0  0  0,0,0  0  0
Πλάτης,2,2  383,130,0  0  0,0,1  0  1
Ριζίων,10,12  24.875,3.641,2  1  13.957,1.723,3  1  2
Σπηλαίου,1,2  9.453,2.384,0  0  0,0,0  0  0
Στέρνας,2,2  614,200,1  0  75,24,1  0  1
Φυλακίου,1,1  720,160,0  0  0,0,0  0  0
Σαμοθράκης,11,14  14.395,2.900,4  6  1.513,459,19  11  8
Σουφλίου,8,14  11.579,2.887,6  5  2.508,732,12  1  11
